Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,AvgCH,AvgCD,AvgCA,MaxCH,MaxCD,MaxCA
ARG,04/07/2017,Aldosivi,Estudiantes L.P.,1,4,,,A,2.78,2.98,2.67,3.0,3.15,2.88
ARG,05/07/2017,Estudiantes L.P.,Boca Juniors,0,0,,,D,2.98,3.12,2.39,3.2,3.31,2.54
ARG,05/07/2017,River Plate,Temperley,4,1,,,H,1.39,4.44,8.03,1.43,4.75,9.4
ARG,05/07/2017,Aldosivi,Huracan,0,3,,,A,2.47,2.94,3.06,2.65,3.06,3.26
ARG,05/07/2017,Defensa y Justicia,Godoy Cruz,0,0,,,D,1.55,3.73,6.52,1.6,4.0,8.0
ARG,05/07/2017,San Lorenzo,Rosario Central,2,1,,,H,2.19,3.16,3.35,2.29,3.32,3.7
ARG,11/07/2017,Velez Sarsfield,Union de Santa Fe,0,2,,,A,2.46,2.96,3.07,2.63,3.1,3.22
ARG,04/08/2017,Colon Santa FE,Godoy Cruz,1,0,,,H,1.73,3.48,4.87,1.8,3.92,5.66
ARG,04/08/2017,Rosario Central,Atl. Tucuman,2,1,,,H,1.76,3.38,4.83,1.83,3.65,5.5
ARG,04/08/2017,Arsenal Sarandi,Newells Old Boys,0,1,,,A,3.53,3.17,2.11,4.0,3.38,2.21
ARG,04/08/2017,San Lorenzo,Sarmiento Junin,1,0,,,H,1.57,3.81,5.83,1.64,4.2,6.67
ARG,04/08/2017,Atl. Rafaela,Huracan,1,1,,,D,1.85,3.26,4.5,2.05,3.47,5.25
ARG,04/08/2017,Talleres Cordoba,Lanus,3,1,,,H,2.36,2.99,3.19,2.5,3.12,3.4
ARG,05/08/2017,Colon Santa FE,Atl. Tucuman,2,2,,,D,2.08,3.19,3.59,2.18,3.38,3.86
ARG,05/08/2017,Newells Old Boys,Independiente,2,4,,,A,2.57,2.97,2.88,2.68,3.1,3.14
ARG,09/08/2017,Arsenal Sarandi,Colon Santa FE,0,1,,,A,2.56,3.02,2.85,2.7,3.18,3.05
ARG,09/08/2017,Velez Sarsfield,Atl. Tucuman,2,0,,,H,1.78,3.41,4.62,1.83,3.65,5.2
ARG,10/08/2017,Argentinos Jrs,Chacarita Juniors,1,0,,,H,1.83,3.31,4.52,1.9,3.54,5.0
ARG,12/08/2017,Temperley,Tigre,2,1,,,H,3.04,3.1,2.41,3.5,3.29,2.71
ARG,12/08/2017,Patronato,Olimpo Bahia Blanca,1,0,,,H,2.21,3.07,3.44,2.3,3.23,3.8
ARG,25/08/2017,Tigre,Velez Sarsfield,0,3,,,A,2.36,3.12,3.06,2.54,3.42,3.2
ARG,26/08/2017,Banfield,Belgrano,2,1,,,H,2.06,3.18,3.68,2.14,3.3,4.2
ARG,26/08/2017,Defensa y Justicia,Gimnasia L.P.,4,4,,,D,1.73,3.29,5.33,1.78,3.42,6.29
ARG,26/08/2017,Colon Santa FE,Rosario Central,1,1,,,D,2.73,3.02,2.67,3.0,3.15,2.85
ARG,26/08/2017,Talleres Cordoba,Lanus,5,2,,,H,2.31,2.97,3.31,2.45,3.11,3.54
ARG,27/08/2017,Independiente,Huracan,3,1,,,H,1.64,3.46,5.82,1.73,3.67,6.75
ARG,27/08/2017,San Martin S.J.,Patronato,2,0,,,H,2.04,3.19,3.73,2.1,3.38,4.2
ARG,27/08/2017,Atl. Tucuman,Godoy Cruz,2,1,,,H,2.21,3.18,3.27,2.28,3.34,3.58
ARG,27/08/2017,San Lorenzo,Racing Club,1,1,,,D,2.24,3.23,3.15,2.43,3.42,3.4
ARG,27/08/2017,Boca Juniors,Olimpo Bahia Blanca,3,0,,,H,1.34,4.65,9.15,1.4,5.4,11.0
ARG,28/08/2017,Temperley,River Plate,0,1,,,A,6.18,3.73,1.56,7.1,4.07,2.3
ARG,28/08/2017,Newells Old Boys,Union de Santa Fe,1,1,,,D,2.19,3.05,3.43,2.3,3.24,3.7
ARG,29/08/2017,Estudiantes L.P.,Arsenal Sarandi,2,1,,,H,1.44,4.0,7.88,1.51,4.4,9.5
ARG,04/09/2017,Banfield,Belgrano,2,0,,,H,2.01,3.13,3.92,2.1,3.36,4.45
ARG,04/09/2017,Patronato,Independiente,0,5,,,A,3.34,3.03,2.26,3.72,3.23,2.4
ARG,04/09/2017,San Martin S.J.,Union de Santa Fe,0,0,,,D,2.73,3.02,2.67,2.95,3.18,2.88
ARG,04/09/2017,River Plate,Quilmes,2,0,,,H,1.28,5.25,10.58,1.33,5.9,13.5
ARG,05/09/2017,Banfield,Sarmiento Junin,2,0,,,H,1.44,4.2,7.4,1.48,4.5,8.69
ARG,05/09/2017,Velez Sarsfield,Belgrano,1,2,,,A,1.91,3.13,4.39,2.0,3.35,4.8
ARG,09/09/2017,Olimpo Bahia Blanca,Independiente,1,1,,,D,3.07,3.04,2.4,3.28,3.22,2.5
ARG,09/09/2017,Belgrano,San Martin S.J.,1,0,,,H,2.0,3.15,3.95,2.1,3.3,4.43
ARG,09/09/2017,Estudiantes L.P.,Defensa y Justicia,0,1,,,A,2.17,3.01,3.58,2.28,3.18,4.0
ARG,09/09/2017,Patronato,Argentinos Jrs,2,1,,,H,2.52,2.94,2.99,2.65,3.1,3.22
ARG,12/09/2017,Belgrano,Huracan,1,0,,,H,2.37,2.91,3.3,2.5,3.05,3.64
ARG,12/09/2017,Banfield,Argentinos Jrs,2,3,,,A,2.61,2.94,2.9,2.88,3.2,3.4
ARG,15/09/2017,Tigre,Patronato,1,3,,,A,1.77,3.43,4.68,1.84,3.66,5.11
ARG,16/09/2017,Colon Santa FE,Estudiantes L.P.,0,0,,,D,2.73,2.93,2.73,2.91,3.07,2.92
ARG,16/09/2017,Argentinos Jrs,Belgrano,1,2,,,A,2.24,2.99,3.44,2.4,3.12,3.75
ARG,16/09/2017,Defensa y Justicia,Union de Santa Fe,1,3,,,A,1.76,3.31,5.05,2.8,3.55,5.75
ARG,16/09/2017,Newells Old Boys,Olimpo Bahia Blanca,2,0,,,H,2.12,3.08,3.66,2.21,3.28,4.0
ARG,16/09/2017,San Lorenzo,Arsenal Sarandi,1,0,,,H,1.89,3.33,4.18,2.01,3.5,5.01
ARG,17/09/2017,Independiente,Lanus,0,1,,,A,1.72,3.35,5.23,1.8,3.6,6.0
ARG,17/09/2017,Talleres Cordoba,Velez Sarsfield,0,0,,,D,2.0,3.21,3.87,2.06,3.4,4.45
ARG,17/09/2017,Atl. Tucuman,Chacarita Juniors,1,1,,,D,1.76,3.37,4.87,1.83,3.61,5.5
ARG,17/09/2017,Banfield,Racing Club,1,0,,,H,2.0,3.29,3.72,2.14,3.5,4.0
