Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,AvgCH,AvgCD,AvgCA,MaxCH,MaxCD,MaxCA
AUT,02/07/2016,Admira,Salzburg,1,2,,,A,5.84,4.2,1.52,7.0,4.8,1.6
AUT,05/07/2016,Austria Vienna,Admira,3,1,,,H,1.47,4.27,6.53,1.6,4.7,7.5
AUT,05/07/2016,Altach,Wolfsberger AC,1,1,,,D,2.35,3.17,3.03,2.75,3.4,3.25
AUT,05/07/2016,Ried,Grodig,2,0,,,H,1.96,3.46,3.69,2.05,3.64,4.05
AUT,05/07/2016,Salzburg,Sturm Graz,1,1,,,D,1.63,3.99,4.91,1.71,4.4,6.3
AUT,08/07/2016,Austria Vienna,SK Rapid,1,4,,,A,3.02,3.41,2.26,3.21,3.71,2.46
AUT,23/07/2016,SK Rapid,Ried,5,0,,,H,1.38,4.55,8.11,1.45,5.05,10.11
AUT,23/07/2016,Altach,Wolfsberger AC,1,0,,,H,2.48,3.12,2.9,2.6,3.3,3.14
AUT,23/07/2016,Sturm Graz,Salzburg,3,1,,,H,3.72,3.52,1.94,4.06,3.82,2.03
AUT,24/07/2016,St. Polten,Austria Vienna,1,2,,,A,3.5,3.41,2.05,3.95,3.75,2.27
AUT,24/07/2016,Mattersburg,Admira,0,1,,,A,2.59,3.25,2.68,2.84,3.5,2.96
AUT,30/07/2016,Salzburg,Wolfsberger AC,1,1,,,D,1.39,4.64,7.5,1.44,5.1,8.92
AUT,30/07/2016,Ried,Sturm Graz,1,0,,,H,3.39,3.33,2.11,3.65,3.57,2.2
AUT,31/07/2016,Altach,SK Rapid,1,0,,,H,4.9,3.63,1.71,5.8,4.01,1.85
AUT,31/07/2016,Austria Vienna,Mattersburg,3,1,,,H,1.57,4.16,5.41,1.68,4.96,7.53
AUT,31/07/2016,St. Polten,Admira,2,1,,,H,2.11,3.3,3.46,2.5,3.46,3.9
AUT,05/08/2016,Mattersburg,SK Rapid,0,2,,,A,4.71,3.84,1.68,5.3,4.07,1.72
AUT,13/08/2016,Ried,Salzburg,0,2,,,A,4.77,3.84,1.67,5.5,4.25,1.76
AUT,13/08/2016,Altach,St. Polten,3,1,,,H,1.83,3.56,4.2,2.0,3.82,4.72
AUT,13/08/2016,Mattersburg,Wolfsberger AC,3,1,,,H,2.79,3.23,2.51,3.03,3.5,2.77
AUT,13/08/2016,SK Rapid,Admira,4,0,,,H,1.29,5.27,10.19,1.36,5.95,12.0
AUT,14/08/2016,Sturm Graz,Austria Vienna,3,1,,,H,2.21,3.31,3.2,2.37,3.5,3.43
AUT,20/08/2016,St. Polten,Sturm Graz,1,3,,,A,3.83,3.42,1.95,4.4,3.67,2.1
AUT,20/08/2016,Admira,Ried,1,0,,,H,2.32,3.27,3.02,2.48,3.46,3.2
AUT,20/08/2016,Salzburg,Mattersburg,3,1,,,H,1.35,5.04,7.93,1.41,5.61,13.0
AUT,21/08/2016,Wolfsberger AC,SK Rapid,1,1,,,D,4.73,3.8,1.69,5.29,4.06,1.81
AUT,21/08/2016,Austria Vienna,Altach,3,1,,,H,2.02,3.47,3.49,2.11,3.78,3.9
AUT,27/08/2016,Sturm Graz,Altach,3,1,,,H,1.72,3.65,4.71,1.77,3.95,5.4
AUT,27/08/2016,Wolfsberger AC,Admira,5,0,,,H,1.92,3.41,3.94,2.04,3.62,4.46
AUT,27/08/2016,Mattersburg,St. Polten,1,1,,,D,2.05,3.4,3.48,2.17,3.63,3.85
AUT,28/08/2016,SK Rapid,Salzburg,0,0,,,D,2.3,3.38,2.98,2.43,3.62,3.3
AUT,28/08/2016,Ried,Austria Vienna,1,1,,,D,3.12,3.32,2.24,3.36,3.52,2.33
