Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,AvgCH,AvgCD,AvgCA,MaxCH,MaxCD,MaxCA
B1,26/07/2019,Genk,Kortrijk,2,1,,1,H,1.38,4.94,7.42,1.41,5.25,8.5
B1,27/07/2019,Cercle Brugge,Standard,0,2,,,A,3.72,3.59,1.93,4.1,3.8,1.99
B1,27/07/2019,St Truiden,Mouscron,0,1,,1,A,1.95,3.49,3.77,2.01,3.75,4.1
B1,27/07/2019,Waregem,Mechelen,0,2,,1,A,2.2,3.58,3.03,2.37,3.76,3.15
B1,27/07/2019,Waasland-Beveren,Club Brugge,1,3,1,1,A,5.53,4.36,1.53,6.5,4.6,1.59
B1,28/07/2019,Anderlecht,Oostende,1,2,1,1,A,1.36,4.82,8.02,1.4,5.1,9.25
B1,28/07/2019,Charleroi,Gent,1,1,,,D,2.94,3.38,2.31,3.1,3.55,2.4
B1,28/07/2019,Eupen,Antwerp,1,4,1,1,A,3.55,3.51,2.01,3.8,3.69,2.13
B1,02/08/2019,Club Brugge,St Truiden,6,0,4,,H,1.24,6.04,10.99,1.26,6.5,12.0
B1,03/08/2019,Standard,Waregem,4,0,2,,H,1.49,4.53,5.8,1.54,4.89,6.25
B1,03/08/2019,Kortrijk,Charleroi,1,1,,1,D,2.3,3.43,2.95,2.44,3.61,3.05
B1,03/08/2019,Oostende,Cercle Brugge,3,1,2,1,H,2.21,3.56,3.01,2.3,3.75,3.27
B1,03/08/2019,Mechelen,Genk,3,1,1,1,H,4.06,3.68,1.83,4.33,3.85,1.88
B1,04/08/2019,Gent,Eupen,6,1,4,,H,1.38,4.84,7.32,1.46,5.2,8.0
B1,04/08/2019,Mouscron,Anderlecht,0,0,,,D,3.35,3.44,2.1,3.7,3.64,2.18
B1,04/08/2019,Antwerp,Waasland-Beveren,4,1,2,1,H,1.34,5.02,8.17,1.4,5.5,9.0
B1,09/08/2019,Anderlecht,Mechelen,0,0,,,D,1.79,3.81,4.07,1.86,4.2,4.36
B1,10/08/2019,Oostende,Club Brugge,0,2,,,A,6.11,4.65,1.45,7.0,5.01,1.51
B1,10/08/2019,Cercle Brugge,Kortrijk,1,3,1,,A,2.52,3.52,2.59,2.63,3.74,2.7
B1,10/08/2019,Eupen,Waasland-Beveren,1,1,,1,D,1.87,3.69,3.85,1.92,3.86,4.2
B1,10/08/2019,Genk,Waregem,0,2,,1,A,1.23,6.29,10.57,1.26,7.0,13.0
B1,11/08/2019,St Truiden,Standard,2,1,2,,H,4.25,3.88,1.74,4.5,4.12,1.78
B1,11/08/2019,Charleroi,Antwerp,2,1,,,H,2.56,3.3,2.66,2.65,3.42,2.75
B1,11/08/2019,Mouscron,Gent,2,1,2,1,H,3.41,3.62,2.0,3.6,3.8,2.06
B1,16/08/2019,Club Brugge,Eupen,0,0,,,D,1.19,7.14,12.24,1.23,8.0,14.0
B1,17/08/2019,Kortrijk,Anderlecht,4,2,,1,H,2.87,3.51,2.32,3.0,3.74,2.42
B1,17/08/2019,Mechelen,Cercle Brugge,3,1,,1,H,1.41,4.65,7.08,1.45,5.0,9.0
B1,17/08/2019,Waasland-Beveren,Genk,0,4,,1,A,6.55,4.95,1.4,7.5,5.33,1.44
B1,18/08/2019,Standard,Mouscron,4,1,2,,H,1.51,4.33,5.83,1.58,4.75,6.46
B1,18/08/2019,Antwerp,St Truiden,2,0,1,,H,1.52,4.18,5.84,1.58,4.47,6.43
B1,18/08/2019,Gent,Oostende,2,0,,,H,1.36,5.1,7.54,1.4,5.5,8.56
B1,19/08/2019,Waregem,Charleroi,3,1,1,,H,2.79,3.56,2.34,2.9,3.88,2.5
B1,23/08/2019,Genk,Anderlecht,1,0,,,H,1.77,3.84,4.16,1.82,4.1,4.5
B1,24/08/2019,Cercle Brugge,Waasland-Beveren,1,0,,,H,1.99,3.73,3.38,2.03,3.92,3.58
B1,24/08/2019,St Truiden,Waregem,0,0,,,D,2.26,3.64,2.86,2.33,3.92,3.0
B1,24/08/2019,Oostende,Mechelen,2,1,,,H,3.01,3.54,2.21,3.11,3.75,2.3
B1,25/08/2019,Standard,Kortrijk,2,1,,1,H,1.51,4.35,5.74,1.55,4.58,6.34
B1,25/08/2019,Mouscron,Eupen,2,0,1,,H,1.72,3.77,4.52,1.8,3.96,4.88
B1,30/08/2019,Mechelen,Mouscron,2,2,2,1,D,2.0,3.47,3.68,2.06,3.75,4.03
B1,31/08/2019,Eupen,St Truiden,0,2,,1,A,2.25,3.62,2.91,2.32,3.82,3.02
B1,31/08/2019,Kortrijk,Oostende,2,2,,1,D,1.99,3.71,3.39,2.13,3.98,3.5
B1,31/08/2019,Waasland-Beveren,Charleroi,0,4,,1,A,3.85,3.84,1.84,4.01,4.18,1.9
B1,01/09/2019,Club Brugge,Genk,1,1,1,,D,1.77,3.86,4.15,1.83,4.08,4.35
B1,01/09/2019,Anderlecht,Standard,1,0,1,,H,2.15,3.52,3.18,2.25,3.72,3.4
B1,01/09/2019,Gent,Cercle Brugge,3,2,3,1,H,1.29,5.75,8.77,1.32,6.0,9.5
B1,01/09/2019,Waregem,Antwerp,2,0,2,,H,2.68,3.61,2.41,2.85,3.82,2.51
B1,13/09/2019,Charleroi,Genk,2,1,2,,H,2.77,3.54,2.39,2.9,3.74,2.47
