Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,AvgCH,AvgCD,AvgCA,MaxCH,MaxCD,MaxCA
BRA,06/07/2017,Fluminense,Athletico-PR,1,1,,,D,1.63,3.67,5.43,1.72,3.96,6.0
BRA,06/07/2017,Atletico-MG,Avai,1,0,,,H,1.31,5.03,9.66,1.35,5.54,12.0
BRA,06/07/2017,Coritiba,Palmeiras,1,0,,,H,2.44,3.09,2.95,2.57,3.26,3.13
BRA,10/07/2017,Cruzeiro,Ponte Preta,2,1,,,H,1.58,3.7,6.17,1.63,3.95,7.0
BRA,13/07/2017,Fluminense,Botafogo RJ,0,1,,,A,2.07,3.23,3.61,2.27,3.38,4.03
BRA,13/07/2017,Athletico-PR,Cruzeiro,0,2,,,A,2.62,3.1,2.74,2.79,3.35,2.95
BRA,13/07/2017,Palmeiras,Corinthians,0,2,,,A,2.13,3.23,3.43,2.24,3.4,3.7
BRA,13/07/2017,Vitoria,Vasco,1,4,,,A,1.85,3.5,4.1,1.98,3.73,4.6
BRA,13/07/2017,Flamengo RJ,Gremio,0,1,,,A,1.83,3.44,4.3,1.92,3.65,4.61
BRA,13/07/2017,Sao Paulo,Atletico GO,2,2,,,D,1.36,4.65,8.56,1.39,5.14,10.02
BRA,13/07/2017,Sport Recife,Chapecoense-SC,3,0,,,H,1.91,3.48,3.85,1.99,3.72,4.32
BRA,14/07/2017,Avai,Coritiba,1,4,,,A,2.61,3.0,2.81,2.76,3.2,2.95
BRA,15/07/2017,Corinthians,Athletico-PR,2,2,,,D,1.45,4.1,7.43,1.5,4.45,9.36
BRA,16/07/2017,Palmeiras,Vitoria,4,2,,,H,1.26,5.46,10.8,1.31,6.16,13.35
BRA,16/07/2017,Atletico GO,Atletico-MG,1,2,,,A,3.19,3.31,2.2,3.48,3.58,2.31
BRA,16/07/2017,Chapecoense-SC,Sao Paulo,2,0,,,H,2.68,3.2,2.6,2.88,3.35,2.78
BRA,16/07/2017,Cruzeiro,Flamengo RJ,1,1,,,D,2.38,3.23,2.94,2.57,3.35,3.18
BRA,16/07/2017,Gremio,Ponte Preta,3,1,,,H,1.5,3.93,6.77,1.54,4.4,8.22
BRA,16/07/2017,Vasco,Santos,0,0,,,D,2.46,3.24,2.83,2.66,3.4,3.01
BRA,16/07/2017,Bahia,Avai,1,1,,,D,1.46,4.01,7.48,1.53,4.2,8.5
BRA,16/07/2017,Coritiba,Fluminense,1,2,,,A,2.04,3.36,3.54,2.2,3.51,3.93
BRA,18/07/2017,Botafogo RJ,Sport Recife,2,1,,,H,1.92,3.33,4.01,2.13,3.66,4.51
BRA,19/07/2017,Santos,Chapecoense-SC,1,0,,,H,1.69,3.67,4.91,1.75,3.9,5.5
BRA,19/07/2017,Vitoria,Gremio,1,3,,,A,3.09,3.25,2.28,3.3,3.44,2.43
BRA,20/07/2017,Avai,Corinthians,0,0,,,D,3.97,3.19,1.98,4.5,3.35,2.07
BRA,20/07/2017,Ponte Preta,Coritiba,4,0,,,H,1.9,3.28,4.21,1.99,3.44,4.66
BRA,20/07/2017,Atletico-MG,Bahia,0,2,,,A,1.72,3.57,4.79,1.79,3.8,5.46
BRA,20/07/2017,Flamengo RJ,Palmeiras,2,2,,,D,1.76,3.52,4.59,1.82,3.78,5.2
BRA,20/07/2017,Sao Paulo,Vasco,1,0,,,H,1.54,3.95,5.99,1.61,4.4,6.71
BRA,20/07/2017,Fluminense,Cruzeiro,1,1,,,D,2.44,3.2,2.85,2.59,3.41,3.02
BRA,21/07/2017,Sport Recife,Atletico GO,4,0,,,H,1.47,4.16,6.8,1.5,4.6,8.03
BRA,21/07/2017,Athletico-PR,Botafogo RJ,0,0,,,D,2.21,3.08,3.42,2.31,3.22,3.7
BRA,22/07/2017,Vitoria,Chapecoense-SC,1,2,,,A,2.14,3.33,3.32,2.35,3.56,3.6
BRA,22/07/2017,Flamengo RJ,Coritiba,2,1,,,H,1.38,4.55,8.1,1.41,4.93,9.55
BRA,23/07/2017,Santos,Bahia,3,0,,,H,1.95,3.28,3.94,2.01,3.46,4.45
BRA,23/07/2017,Avai,Cruzeiro,1,0,,,H,3.92,3.2,1.98,4.33,3.44,2.07
BRA,23/07/2017,Fluminense,Corinthians,0,1,,,A,2.74,3.16,2.57,2.95,3.38,2.72
BRA,23/07/2017,Sport Recife,Palmeiras,0,2,,,A,2.08,3.37,3.43,2.25,3.64,3.66
BRA,23/07/2017,Atletico GO,Botafogo RJ,1,1,,,D,2.39,3.02,3.12,2.62,3.18,3.36
