Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,AvgCH,AvgCD,AvgCA,MaxCH,MaxCD,MaxCA
CHN,07/07/2023,Henan Songshan Longmen,Shandong Taishan,0,1,,,A,4.73,3.36,1.76,5.5,4.01,1.83
CHN,07/07/2023,Meizhou Hakka,Chengdu Rongcheng,3,1,,,H,5.12,4.01,1.58,7.0,4.46,1.68
CHN,07/07/2023,Qingdao Hainiu,Cangzhou,1,1,,,D,2.62,3.28,2.56,2.75,3.47,2.81
CHN,07/07/2023,Tianjin Jinmen Tiger,Nantong Zhiyun,1,1,,,D,1.58,3.74,5.65,1.67,4.0,6.5
CHN,07/07/2023,Zhejiang Professional,Shanghai Shenhua,0,1,,,A,2.28,3.14,3.12,2.6,3.35,3.37
CHN,16/07/2023,Beijing Guoan,Wuhan Three Towns,1,1,,,D,2.5,3.44,2.59,2.68,3.66,2.74
CHN,16/07/2023,Dalian Pro,Changchun Yatai,0,0,,,D,2.56,3.25,2.63,2.7,3.44,2.79
CHN,16/07/2023,Nantong Zhiyun,Shandong Taishan,1,1,,,D,5.25,3.56,1.65,6.0,3.91,1.71
CHN,16/07/2023,Shenzhen,Shanghai Port,1,4,,,A,43.34,16.36,1.02,71.0,25.0,1.07
CHN,16/07/2023,Zhejiang Professional,Tianjin Jinmen Tiger,2,1,,,H,2.24,3.32,3.03,2.45,3.53,3.3
CHN,17/07/2023,Cangzhou,Chengdu Rongcheng,2,1,,,H,3.05,3.12,2.33,3.99,3.52,2.48
CHN,17/07/2023,Qingdao Hainiu,Henan Songshan Longmen,2,0,,,H,2.1,3.19,3.48,2.19,3.38,3.75
CHN,17/07/2023,Shanghai Shenhua,Meizhou Hakka,2,1,,,H,1.75,3.44,4.64,1.82,3.64,5.56
CHN,21/07/2023,Henan Songshan Longmen,Nantong Zhiyun,1,1,,,D,2.37,3.02,3.08,2.5,3.19,3.41
CHN,21/07/2023,Shanghai Port,Cangzhou,3,0,,,H,1.36,5.01,7.09,1.49,5.5,9.16
CHN,21/07/2023,Tianjin Jinmen Tiger,Shenzhen,3,3,,,D,1.1,8.88,21.7,1.13,10.5,34.0
CHN,22/07/2023,Beijing Guoan,Qingdao Hainiu,2,0,,,H,1.8,3.7,4.01,1.88,4.3,5.45
CHN,22/07/2023,Changchun Yatai,Shanghai Shenhua,1,1,,,D,2.86,3.17,2.43,3.0,3.44,2.6
CHN,22/07/2023,Chengdu Rongcheng,Dalian Pro,4,1,,,H,1.6,3.76,5.44,1.67,4.29,6.81
CHN,22/07/2023,Zhejiang Professional,Shandong Taishan,2,1,,,H,3.69,3.45,1.94,4.05,3.63,2.17
CHN,23/07/2023,Wuhan Three Towns,Meizhou Hakka,2,1,,,H,1.24,6.29,9.66,1.47,7.5,11.0
CHN,28/07/2023,Henan Songshan Longmen,Shenzhen,3,1,,,H,1.3,5.1,8.83,1.35,5.55,10.0
CHN,29/07/2023,Chengdu Rongcheng,Zhejiang Professional,1,2,,,A,1.54,4.21,5.17,1.62,4.75,5.6
CHN,29/07/2023,Meizhou Hakka,Dalian Pro,2,1,,,H,1.45,4.42,6.22,1.69,4.75,7.01
CHN,29/07/2023,Nantong Zhiyun,Cangzhou,1,2,,,A,2.85,3.2,2.41,3.03,3.4,2.78
CHN,29/07/2023,Shanghai Shenhua,Shanghai Port,0,5,,,A,3.73,3.31,1.97,4.2,3.54,2.06
CHN,29/07/2023,Tianjin Jinmen Tiger,Changchun Yatai,0,0,,,D,2.11,3.4,3.22,2.2,3.6,3.52
CHN,30/07/2023,Shandong Taishan,Beijing Guoan,3,0,,,H,2.1,3.22,3.43,2.22,3.78,4.08
CHN,30/07/2023,Wuhan Three Towns,Qingdao Hainiu,1,0,,,H,1.32,5.15,7.85,1.38,6.0,10.0
CHN,06/08/2023,Changchun Yatai,Shenzhen,4,1,,,H,1.17,6.84,13.52,1.23,7.57,19.0
CHN,06/08/2023,Chengdu Rongcheng,Tianjin Jinmen Tiger,0,0,,,D,1.71,3.48,4.89,1.91,3.65,5.4
CHN,06/08/2023,Qingdao Hainiu,Shanghai Shenhua,0,1,,,A,3.97,3.22,1.93,4.33,3.45,2.04
CHN,07/08/2023,Beijing Guoan,Shenzhen,5,0,,,H,1.08,9.96,22.14,1.13,12.0,29.0
CHN,07/08/2023,Shanghai Port,Dalian Pro,1,1,,,D,1.19,6.25,13.2,1.22,6.9,15.5
CHN,07/08/2023,Wuhan Three Towns,Changchun Yatai,2,1,,,H,1.48,4.69,5.32,1.61,5.25,6.01
CHN,08/08/2023,Meizhou Hakka,Changchun Yatai,4,2,,,H,2.01,3.69,3.2,2.15,3.91,3.59
CHN,08/08/2023,Qingdao Hainiu,Shanghai Port,0,5,,,A,5.77,4.28,1.49,6.5,4.53,1.57
CHN,08/08/2023,Shandong Taishan,Chengdu Rongcheng,0,1,,,A,1.42,4.23,7.28,1.47,4.5,8.0
CHN,08/08/2023,Zhejiang Professional,Nantong Zhiyun,1,1,,,D,1.75,3.7,4.27,1.88,4.0,5.0
CHN,13/08/2023,Dalian Pro,Shenzhen,2,1,,,H,1.38,4.58,7.23,1.42,4.95,8.5
CHN,13/08/2023,Henan Songshan Longmen,Tianjin Jinmen Tiger,1,0,,,H,2.28,3.22,3.0,2.39,3.44,3.3
CHN,13/08/2023,Nantong Zhiyun,Beijing Guoan,0,1,,,A,2.76,3.25,2.44,2.88,3.4,2.64
CHN,13/08/2023,Shandong Taishan,Cangzhou,4,0,,,H,1.18,6.59,13.13,1.22,7.59,16.5
CHN,13/08/2023,Wuhan Three Towns,Shanghai Shenhua,1,2,,,A,1.73,3.61,4.47,1.89,3.95,5.5
CHN,18/08/2023,Shandong Taishan,Tianjin Jinmen Tiger,1,0,,,H,1.36,4.63,7.73,1.42,5.0,9.0
CHN,18/08/2023,Shanghai Port,Meizhou Hakka,1,1,,,D,1.2,6.65,10.85,1.24,7.6,13.0
