Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,AvgCH,AvgCD,AvgCA,MaxCH,MaxCD,MaxCA
D1,26/08/2016,Bayern Munich,Werder Bremen,6,0,2,,H,1.1,10.0,23.0,1.16,12.2,30.0
D1,27/08/2016,Augsburg,Wolfsburg,0,2,,1,A,2.8,3.25,2.6,2.88,3.43,2.64
D1,27/08/2016,Dortmund,Mainz,2,1,1,,H,1.36,5.0,8.5,1.41,5.41,9.49
D1,27/08/2016,Ein Frankfurt,Schalke 04,1,0,1,,H,3.4,3.3,2.2,3.4,3.64,2.3
D1,27/08/2016,FC Koln,Darmstadt,2,0,1,,H,1.8,3.5,4.75,1.84,3.72,5.34
D1,27/08/2016,Hamburg,Ingolstadt,1,1,1,,D,2.2,3.2,3.5,2.25,3.3,3.79
D1,27/08/2016,MGladbach,Leverkusen,2,1,1,,H,2.3,3.4,3.1,2.5,3.62,3.23
D1,28/08/2016,Hertha,Freiburg,2,1,,,H,2.15,3.3,3.5,2.25,3.38,4.0
D1,28/08/2016,Hoffenheim,RB Leipzig,2,2,,,D,2.5,3.25,2.9,2.61,3.49,3.0
D1,09/09/2016,Schalke 04,Bayern Munich,0,2,,,A,10.0,5.5,1.3,11.0,6.05,1.36
D1,10/09/2016,Darmstadt,Ein Frankfurt,1,0,,,H,3.0,3.3,2.4,3.21,3.45,2.5
D1,10/09/2016,Freiburg,MGladbach,3,1,,1,H,3.6,3.6,2.0,3.8,3.9,2.1
D1,10/09/2016,Ingolstadt,Hertha,0,2,,1,A,2.4,3.1,3.2,2.52,3.25,3.33
D1,10/09/2016,Leverkusen,Hamburg,3,1,,,H,1.45,4.5,7.0,1.55,4.76,7.53
D1,10/09/2016,RB Leipzig,Dortmund,1,0,,,H,5.25,4.2,1.62,6.0,4.47,1.67
D1,10/09/2016,Wolfsburg,FC Koln,0,0,,,D,1.85,3.75,4.2,1.94,3.95,4.5
D1,11/09/2016,Mainz,Hoffenheim,4,4,4,1,D,2.0,3.5,3.75,2.1,3.8,3.9
D1,11/09/2016,Werder Bremen,Augsburg,1,2,1,,A,2.3,3.4,3.1,2.4,3.65,3.17
D1,16/09/2016,FC Koln,Freiburg,3,0,3,,H,1.8,3.6,4.5,1.98,3.84,4.88
D1,17/09/2016,Bayern Munich,Ingolstadt,3,1,1,1,H,1.07,12.0,34.0,1.15,13.5,42.68
D1,17/09/2016,Dortmund,Darmstadt,6,0,1,,H,1.13,9.0,21.0,1.19,10.5,29.0
