Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,AvgCH,AvgCD,AvgCA,MaxCH,MaxCD,MaxCA
DEN,04/07/2019,Hobro,Aalborg,1,1,,,D,3.57,3.53,2.02,3.83,3.78,2.1
DEN,04/07/2019,Vejle,Sonderjyske,4,1,,,H,2.93,3.38,2.36,3.02,3.57,2.52
DEN,04/07/2019,Esbjerg,Midtjylland,2,2,,,D,6.05,4.25,1.52,7.0,4.54,1.57
DEN,04/07/2019,Odense,FC Copenhagen,0,1,,,A,3.05,3.35,2.3,3.18,3.5,2.43
DEN,14/07/2019,Sonderjyske,Randers FC,2,1,,,H,2.17,3.38,3.31,2.23,3.5,3.5
DEN,14/07/2019,Horsens,Nordsjaelland,0,3,,,A,2.72,3.38,2.53,2.84,3.54,2.65
DEN,14/07/2019,Lyngby,Aalborg,2,0,,,H,3.39,3.57,2.07,3.5,3.75,2.15
DEN,14/07/2019,Odense,FC Copenhagen,2,3,,,A,2.93,3.39,2.37,3.35,3.5,2.46
DEN,14/07/2019,Brondby,Silkeborg,3,0,,,H,1.38,5.13,7.02,1.43,5.5,7.5
DEN,15/07/2019,Hobro,Aarhus,1,1,,,D,3.96,3.66,1.87,4.25,3.87,1.96
DEN,19/07/2019,FC Copenhagen,Aarhus,2,1,,,H,1.39,4.99,7.25,1.43,5.3,8.6
DEN,21/07/2019,Silkeborg,Horsens,0,3,,,A,2.15,3.56,3.21,2.23,3.76,3.5
DEN,21/07/2019,Aalborg,Sonderjyske,1,1,,,D,2.61,3.45,2.59,2.72,3.55,2.66
DEN,21/07/2019,Esbjerg,Hobro,1,1,,,D,1.6,3.88,5.77,1.65,4.06,6.5
DEN,21/07/2019,Randers FC,Brondby,2,2,,,D,3.39,3.56,2.07,3.6,3.72,2.15
DEN,21/07/2019,Midtjylland,Nordsjaelland,2,1,,,H,1.6,4.27,4.99,1.69,4.55,5.45
DEN,22/07/2019,Odense,Lyngby,4,1,,,H,1.51,4.58,5.68,1.55,4.85,7.0
DEN,26/07/2019,Lyngby,Sonderjyske,0,3,,,A,3.21,3.68,2.1,3.4,3.85,2.27
