Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,AvgCH,AvgCD,AvgCA,MaxCH,MaxCD,MaxCA
E1,04/08/2023,Sheffield Weds,Southampton,1,2,,1,A,3.14,3.38,2.28,3.31,3.47,2.35
E1,05/08/2023,Blackburn,West Brom,2,1,2,,H,2.78,3.21,2.62,2.92,3.3,2.72
E1,05/08/2023,Bristol City,Preston,1,1,,,D,2.08,3.39,3.63,2.15,3.5,3.72
E1,05/08/2023,Middlesbrough,Millwall,0,1,,,A,1.95,3.47,3.97,2.05,3.6,4.33
E1,05/08/2023,Norwich,Hull,2,1,1,1,H,1.77,3.65,4.65,1.82,3.75,5.0
E1,05/08/2023,Plymouth,Huddersfield,3,1,1,1,H,2.18,3.39,3.36,2.25,3.47,3.55
E1,05/08/2023,Stoke,Rotherham,4,1,3,,H,1.64,3.86,5.45,1.67,4.0,5.75
E1,05/08/2023,Swansea,Birmingham,1,1,,1,D,1.87,3.58,4.18,1.91,3.7,4.37
E1,05/08/2023,Watford,QPR,4,0,4,,H,1.89,3.58,4.09,1.97,3.7,4.39
E1,06/08/2023,Leicester,Coventry,2,1,,,H,1.55,4.19,5.87,1.6,4.33,6.3
E1,06/08/2023,Leeds,Cardiff,2,2,,2,D,1.42,4.71,7.25,1.47,5.1,8.5
E1,06/08/2023,Sunderland,Ipswich,1,2,,1,A,2.45,3.34,2.88,2.55,3.45,3.02
E1,12/08/2023,Coventry,Middlesbrough,3,0,1,,H,2.41,3.36,2.92,2.5,3.47,3.04
E1,12/08/2023,Birmingham,Leeds,1,0,,,H,3.21,3.55,2.16,3.43,3.84,2.27
E1,12/08/2023,Cardiff,QPR,1,2,,1,A,1.97,3.47,3.8,2.07,3.6,4.01
E1,12/08/2023,Huddersfield,Leicester,0,1,,,A,4.47,3.84,1.74,4.9,4.0,1.79
E1,12/08/2023,Hull,Sheffield Weds,4,2,1,1,H,2.3,3.35,3.07,2.38,3.47,3.2
E1,12/08/2023,Ipswich,Stoke,2,0,1,,H,2.12,3.5,3.35,2.17,3.63,3.5
E1,12/08/2023,Millwall,Bristol City,0,1,,,A,1.88,3.53,4.17,1.97,3.75,4.45
E1,12/08/2023,Preston,Sunderland,2,1,1,1,H,2.7,3.36,2.57,2.9,3.6,2.65
E1,12/08/2023,Rotherham,Blackburn,2,2,1,,D,2.92,3.37,2.4,3.09,3.66,2.45
E1,12/08/2023,Southampton,Norwich,4,4,2,3,D,1.84,3.69,4.13,1.91,3.93,4.4
E1,12/08/2023,Watford,Plymouth,0,0,,,D,1.74,3.82,4.59,1.82,4.01,5.0
E1,12/08/2023,West Brom,Swansea,3,2,1,,H,2.08,3.46,3.5,2.16,3.76,3.75
E1,18/08/2023,Leeds,West Brom,1,1,,,D,2.11,3.46,3.44,2.16,3.59,3.6
E1,19/08/2023,Plymouth,Southampton,1,2,,,A,3.75,3.78,1.91,3.9,3.99,1.97
E1,19/08/2023,Blackburn,Hull,1,2,,,A,1.91,3.63,3.93,1.95,3.8,4.25
E1,19/08/2023,Bristol City,Birmingham,0,2,,1,A,2.23,3.23,3.37,2.29,3.4,3.52
E1,19/08/2023,Leicester,Cardiff,2,1,1,1,H,1.5,4.34,6.33,1.54,4.6,6.5
E1,19/08/2023,Middlesbrough,Huddersfield,1,1,,,D,1.72,3.89,4.61,1.78,4.1,5.0
E1,19/08/2023,QPR,Ipswich,0,1,,,A,4.13,3.53,1.89,4.51,3.65,1.95
E1,19/08/2023,Sheffield Weds,Preston,0,1,,,A,2.54,3.16,2.89,2.61,3.25,2.99
E1,19/08/2023,Stoke,Watford,1,0,,,H,2.23,3.38,3.23,2.27,3.53,3.35
E1,19/08/2023,Sunderland,Rotherham,2,1,1,1,H,1.65,3.98,5.03,1.68,4.3,5.32
E1,19/08/2023,Swansea,Coventry,1,1,1,1,D,2.39,3.41,2.92,2.45,3.55,3.05
E1,20/08/2023,Norwich,Millwall,3,1,1,,H,2.05,3.46,3.57,2.12,3.6,3.85
E1,25/08/2023,Hull,Bristol City,1,1,1,,D,2.37,3.33,3.01,2.45,3.45,3.13
E1,26/08/2023,Birmingham,Plymouth,2,1,1,,H,1.87,3.52,4.28,1.91,3.69,4.5
E1,26/08/2023,Cardiff,Sheffield Weds,2,1,,,H,2.13,3.3,3.55,2.2,3.45,3.74
E1,26/08/2023,Coventry,Sunderland,0,0,,,D,2.12,3.42,3.46,2.18,3.57,3.6
E1,26/08/2023,Huddersfield,Norwich,0,4,,2,A,3.34,3.53,2.12,3.51,3.74,2.16
E1,26/08/2023,Ipswich,Leeds,3,4,2,3,A,2.34,3.31,3.08,2.41,3.44,3.23
E1,26/08/2023,Millwall,Stoke,1,0,1,,H,2.35,3.21,3.15,2.43,3.3,3.7
E1,26/08/2023,Preston,Swansea,2,1,,1,H,2.59,3.26,2.77,2.66,3.36,2.85
E1,26/08/2023,Rotherham,Leicester,1,2,,1,A,5.43,4.07,1.6,5.75,4.21,1.64
E1,26/08/2023,Southampton,QPR,2,1,1,1,H,1.36,5.09,8.24,1.38,5.47,9.0
E1,26/08/2023,West Brom,Middlesbrough,4,2,2,1,H,2.24,3.42,3.18,2.3,3.55,3.29
E1,27/08/2023,Watford,Blackburn,0,1,,,A,2.07,3.51,3.48,2.14,3.7,3.75
E1,02/09/2023,Birmingham,Millwall,1,1,,1,D,2.39,3.15,3.14,2.49,3.21,3.25
E1,02/09/2023,Sunderland,Southampton,5,0,3,,H,2.78,3.54,2.43,2.9,3.7,2.49
E1,02/09/2023,Swansea,Bristol City,1,2,1,,A,2.11,3.52,3.38,2.18,3.64,3.5
E1,02/09/2023,Coventry,Watford,3,3,1,1,D,2.14,3.49,3.33,2.18,3.65,3.44
E1,02/09/2023,Ipswich,Cardiff,3,2,,1,H,1.64,4.07,5.01,1.7,4.2,5.5
E1,02/09/2023,Leeds,Sheffield Weds,0,0,,,D,1.44,4.71,6.84,1.48,5.1,7.5
E1,02/09/2023,Leicester,Hull,0,1,,1,A,1.53,4.44,5.7,1.57,4.7,6.0
E1,02/09/2023,Middlesbrough,QPR,0,2,,1,A,1.6,4.2,5.26,1.66,4.43,5.75
E1,02/09/2023,Plymouth,Blackburn,3,0,1,,H,2.69,3.67,2.44,2.75,3.84,2.52
E1,02/09/2023,Rotherham,Norwich,2,1,2,,H,4.5,3.9,1.74,4.9,4.0,1.79
E1,02/09/2023,Stoke,Preston,0,2,,,A,1.93,3.47,4.05,2.0,3.56,4.33
E1,02/09/2023,West Brom,Huddersfield,1,2,,1,A,1.69,3.91,4.83,1.73,4.1,5.5
E1,15/09/2023,Hull,Coventry,1,1,,1,D,2.8,3.4,2.49,2.89,3.51,2.56
E1,15/09/2023,Southampton,Leicester,1,4,1,3,A,2.47,3.52,2.77,2.55,3.65,2.86
E1,16/09/2023,Blackburn,Middlesbrough,2,1,1,,H,2.51,3.52,2.69,2.63,3.66,2.79
E1,16/09/2023,Bristol City,West Brom,0,0,,,D,2.42,3.37,2.9,2.49,3.46,3.05
E1,16/09/2023,Huddersfield,Rotherham,2,0,1,,H,1.88,3.56,4.14,1.91,3.7,4.44
E1,16/09/2023,Norwich,Stoke,1,0,1,,H,1.89,3.7,3.92,1.92,3.92,4.2
E1,16/09/2023,Preston,Plymouth,2,1,2,,H,1.98,3.57,3.69,2.02,3.71,3.89
E1,16/09/2023,QPR,Sunderland,1,3,1,1,A,3.2,3.52,2.19,3.37,3.7,2.25
E1,16/09/2023,Sheffield Weds,Ipswich,0,1,,1,A,3.73,3.53,1.99,3.96,3.68,2.05
E1,16/09/2023,Watford,Birmingham,2,0,,,H,1.99,3.44,3.81,2.05,3.57,4.1
E1,16/09/2023,Cardiff,Swansea,2,0,,,H,2.54,3.34,2.76,2.66,3.44,2.85
E1,17/09/2023,Millwall,Leeds,0,3,,1,A,3.01,3.33,2.36,3.17,3.44,2.43
E1,19/09/2023,Bristol City,Plymouth,4,1,3,1,H,1.77,3.96,4.25,1.8,4.15,4.44
E1,19/09/2023,Cardiff,Coventry,3,2,1,1,H,2.67,3.31,2.64,2.75,3.45,2.75
E1,19/09/2023,Preston,Birmingham,2,1,,,H,2.35,3.15,3.25,2.4,3.23,3.4
E1,19/09/2023,QPR,Swansea,1,1,,1,D,2.71,3.35,2.59,2.8,3.47,2.68
E1,19/09/2023,Southampton,Ipswich,0,1,,1,A,2.28,3.62,2.96,2.33,3.75,3.1
E1,19/09/2023,Sheffield Weds,Middlesbrough,1,1,1,,D,3.34,3.47,2.15,3.47,3.6,2.2
