Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,AvgCH,AvgCD,AvgCA,MaxCH,MaxCD,MaxCA
EC,10/08/2024,Aldershot,Forest Green,3,3,2,1,D,2.39,3.4,2.69,2.5,3.52,2.82
EC,10/08/2024,Altrincham,Woking,1,0,1,,H,2.24,3.42,2.9,2.31,3.6,3.2
EC,10/08/2024,Boston Utd,Rochdale,0,3,,2,A,2.88,3.34,2.28,3.0,3.45,2.36
EC,10/08/2024,Dag and Red,Wealdstone,2,1,,,H,1.91,3.51,3.62,1.95,3.63,4.1
EC,10/08/2024,Fylde,Solihull,3,2,1,2,H,2.58,3.38,2.48,2.68,3.5,2.6
EC,10/08/2024,Gateshead,Ebbsfleet,5,1,3,,H,1.88,3.61,3.61,1.92,3.82,4.0
EC,10/08/2024,Halifax,Barnet,2,1,,,H,3.09,3.41,2.12,3.23,3.5,2.28
EC,10/08/2024,Maidenhead,Eastleigh,0,2,,2,A,1.94,3.58,3.44,2.1,3.76,3.56
EC,10/08/2024,Oldham,Braintree Town,3,0,2,,H,1.77,3.51,4.25,1.83,3.64,4.75
EC,10/08/2024,Southend,York,1,1,1,,D,1.75,3.61,4.25,1.82,3.8,4.6
EC,10/08/2024,Tamworth,Sutton,1,1,,,D,2.89,3.33,2.28,3.0,3.5,2.4
EC,10/08/2024,Yeovil,Hartlepool,0,1,,,A,2.29,3.41,2.82,2.4,3.55,3.0
EC,17/08/2024,Boston Utd,Forest Green,0,4,,3,A,3.08,3.33,2.18,3.2,3.45,2.25
EC,17/08/2024,Braintree Town,Yeovil,0,1,,,A,2.64,3.08,2.62,2.75,3.2,2.7
EC,17/08/2024,Eastleigh,Fylde,4,2,1,2,H,2.39,3.37,2.71,2.5,3.6,2.82
EC,17/08/2024,Ebbsfleet,Barnet,1,2,,1,A,3.46,3.65,1.92,3.7,3.81,1.98
EC,17/08/2024,Halifax,Aldershot,0,1,,1,A,2.5,3.39,2.56,2.6,3.55,2.63
EC,17/08/2024,Hartlepool,Southend,0,0,,,D,3.17,3.36,2.11,3.3,3.55,2.2
EC,17/08/2024,Rochdale,Dag and Red,1,1,,,D,2.17,3.33,3.09,2.28,3.5,3.23
EC,17/08/2024,Solihull,Maidenhead,2,1,,,H,1.79,3.62,3.96,1.82,3.79,4.5
EC,17/08/2024,Sutton,Altrincham,5,0,4,,H,2.03,3.64,3.14,2.07,3.82,3.3
EC,17/08/2024,Wealdstone,Oldham,0,1,,,A,2.55,3.23,2.61,2.64,3.4,2.75
EC,17/08/2024,Woking,Gateshead,0,2,,1,A,2.86,3.42,2.26,3.1,3.61,2.38
EC,17/08/2024,York,Tamworth,2,0,,,H,1.84,3.39,4.04,1.9,3.6,4.33
EC,20/08/2024,Barnet,Forest Green,1,0,,,H,1.79,3.74,3.85,1.85,3.91,4.33
EC,20/08/2024,Braintree Town,Aldershot,2,1,,1,H,2.98,3.34,2.22,3.13,3.5,2.28
EC,20/08/2024,Eastleigh,Solihull,2,1,2,,H,2.65,3.59,2.33,2.75,3.89,2.39
EC,20/08/2024,Halifax,Gateshead,1,1,,,D,3.08,3.42,2.13,3.22,3.6,2.2
EC,20/08/2024,Maidenhead,Altrincham,0,1,,1,A,2.51,3.35,2.57,2.58,3.5,2.7
EC,20/08/2024,Oldham,Fylde,1,1,,1,D,1.9,3.47,3.68,1.95,3.61,3.95
EC,20/08/2024,Southend,Boston Utd,2,0,1,,H,1.54,3.78,5.76,1.57,4.1,6.55
EC,20/08/2024,Tamworth,Hartlepool,0,1,,,A,2.71,3.25,2.44,2.81,3.4,2.57
EC,20/08/2024,Wealdstone,Sutton,0,1,,1,A,2.95,3.34,2.24,3.09,3.46,2.3
EC,20/08/2024,Woking,Dag and Red,1,0,,,H,2.42,3.22,2.76,2.54,3.3,2.84
EC,20/08/2024,Yeovil,Ebbsfleet,3,2,2,,H,1.72,3.65,4.4,1.79,3.78,4.69
EC,20/08/2024,York,Rochdale,1,0,1,,H,2.43,3.23,2.74,2.52,3.3,2.87
EC,23/08/2024,Dag and Red,Halifax,1,1,1,,D,2.14,3.29,3.17,2.2,3.44,3.4
EC,24/08/2024,Gateshead,Yeovil,3,1,2,1,H,1.76,3.63,4.12,1.81,3.8,4.42
EC,24/08/2024,Aldershot,Oldham,4,1,1,,H,2.23,3.47,2.85,2.3,3.6,2.9
EC,24/08/2024,Altrincham,Eastleigh,0,1,,,A,1.9,3.75,3.4,1.96,3.96,3.6
EC,24/08/2024,Barnet,Southend,2,1,1,,H,1.95,3.44,3.52,2.05,3.56,3.75
EC,24/08/2024,Boston Utd,Tamworth,1,1,1,,D,2.8,3.06,2.47,2.91,3.2,2.58
EC,24/08/2024,Ebbsfleet,Woking,0,3,,1,A,2.44,3.36,2.61,2.5,3.45,2.68
EC,24/08/2024,Fylde,Maidenhead,0,0,,,D,2.19,3.44,2.93,2.24,3.58,3.0
EC,24/08/2024,Hartlepool,Wealdstone,1,1,,1,D,1.84,3.63,3.71,1.89,3.75,3.87
EC,24/08/2024,Rochdale,Forest Green,0,0,,,D,2.16,3.46,2.99,2.21,3.57,3.04
EC,24/08/2024,Solihull,Braintree Town,1,1,,1,D,1.62,3.66,5.04,1.66,3.84,5.56
EC,24/08/2024,Sutton,York,2,2,,,D,2.06,3.34,3.33,2.16,3.43,3.5
EC,26/08/2024,Braintree Town,Ebbsfleet,0,0,,,D,2.22,3.44,2.9,2.3,3.65,3.04
EC,26/08/2024,Eastleigh,Sutton,1,1,1,1,D,2.49,3.3,2.62,2.64,3.4,2.7
EC,26/08/2024,Forest Green,Altrincham,2,1,1,,H,2.05,3.49,3.2,2.18,3.65,3.4
EC,26/08/2024,Halifax,Solihull,0,1,,1,A,2.34,3.27,2.83,2.43,3.4,2.96
EC,26/08/2024,Maidenhead,Barnet,3,1,2,1,H,3.58,3.81,1.83,3.75,4.05,1.87
EC,26/08/2024,Oldham,Gateshead,1,1,,1,D,2.86,3.44,2.25,3.0,3.62,2.34
EC,26/08/2024,Southend,Dag and Red,2,2,1,1,D,1.77,3.47,4.31,1.85,3.6,4.62
EC,26/08/2024,Tamworth,Aldershot,3,2,1,1,H,2.67,3.36,2.4,2.79,3.5,2.55
EC,26/08/2024,Wealdstone,Fylde,1,0,1,,H,1.95,3.66,3.34,2.0,3.91,3.52
EC,26/08/2024,Woking,Hartlepool,3,2,,2,H,2.41,3.24,2.76,2.5,3.45,2.88
EC,26/08/2024,Yeovil,Rochdale,0,1,,,A,2.29,3.2,2.96,2.4,3.3,3.12
