Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,AvgCH,AvgCD,AvgCA,MaxCH,MaxCD,MaxCA
F1,10/08/2018,Marseille,Toulouse,4,0,1,,H,1.4,4.5,8.0,1.48,4.87,8.79
F1,11/08/2018,Angers,Nimes,3,4,1,1,A,2.3,3.2,3.3,2.35,3.38,3.49
F1,11/08/2018,Lille,Rennes,3,1,1,1,H,2.5,3.1,3.1,2.63,3.39,3.1
F1,11/08/2018,Montpellier,Dijon,1,2,1,,A,1.72,3.5,5.5,1.78,3.82,5.75
F1,11/08/2018,Nantes,Monaco,1,3,,,A,3.2,3.25,2.3,3.35,3.44,2.41
F1,11/08/2018,Nice,Reims,0,1,,1,A,1.85,3.5,4.5,1.97,3.64,4.6
F1,11/08/2018,St Etienne,Guingamp,2,1,1,,H,1.8,3.5,4.75,1.9,3.76,4.81
F1,12/08/2018,Bordeaux,Strasbourg,0,2,,,A,1.7,3.6,5.0,1.85,3.8,5.2
F1,12/08/2018,Lyon,Amiens,2,0,1,,H,1.2,7.0,13.0,1.26,7.01,15.0
F1,12/08/2018,Paris SG,Caen,3,0,2,,H,1.08,12.0,23.0,1.12,13.0,41.0
F1,17/08/2018,Reims,Lyon,1,0,1,,H,4.75,4.0,1.7,5.2,4.23,1.74
F1,18/08/2018,Amiens,Montpellier,1,2,,,A,3.2,3.0,2.5,3.3,3.21,2.6
F1,18/08/2018,Caen,Nice,1,1,,,D,2.75,3.1,2.75,2.9,3.34,3.0
F1,18/08/2018,Dijon,Nantes,2,0,1,,H,2.6,3.25,2.8,2.7,3.51,2.93
F1,18/08/2018,Guingamp,Paris SG,1,3,1,,A,13.0,7.0,1.2,13.0,7.03,1.29
F1,18/08/2018,Monaco,Lille,0,0,,,D,1.5,4.33,6.5,1.58,4.67,7.2
F1,18/08/2018,Rennes,Angers,1,0,,,H,1.9,3.3,4.5,1.99,3.51,4.75
F1,19/08/2018,Nimes,Marseille,3,1,1,,H,4.75,3.8,1.72,4.9,4.2,1.84
F1,19/08/2018,Strasbourg,St Etienne,1,1,,,D,2.6,3.2,2.8,2.85,3.4,2.83
F1,19/08/2018,Toulouse,Bordeaux,2,1,1,,H,2.6,3.1,2.9,2.7,3.28,3.1
F1,24/08/2018,Lyon,Strasbourg,2,0,1,,H,1.28,5.75,11.0,1.33,6.5,12.0
F1,25/08/2018,Amiens,Reims,4,1,1,,H,2.6,3.25,2.8,2.85,3.25,2.94
F1,25/08/2018,Montpellier,St Etienne,0,0,,,D,2.4,3.1,3.2,2.52,3.28,3.27
F1,25/08/2018,Nantes,Caen,1,1,,1,D,1.95,3.25,4.33,2.05,3.4,4.6
F1,25/08/2018,Nice,Dijon,0,4,,,A,1.9,3.4,4.33,1.95,3.74,4.56
