Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,AvgCH,AvgCD,AvgCA,MaxCH,MaxCD,MaxCA
FIN,04/07/2019,Rovaniemi,Honka,1,2,,,A,3.41,3.1,2.2,3.68,3.25,2.27
FIN,04/07/2019,KPV Kokkola,Ilves,0,2,,,A,4.14,3.24,1.93,4.5,3.4,2.0
FIN,04/07/2019,Lahti,KuPS,3,3,,,D,3.55,3.28,2.06,3.95,3.48,2.17
FIN,05/07/2019,Ilves,Honka,1,1,,,D,2.64,2.92,2.85,2.81,3.02,3.11
FIN,05/07/2019,Inter Turku,Rovaniemi,3,0,,,H,1.77,3.42,4.67,1.85,3.6,5.2
FIN,05/07/2019,VPS,HJK,1,1,,,D,5.45,3.53,1.66,6.2,3.87,1.73
FIN,07/07/2019,Ilves,SJK,3,0,,,H,1.93,3.11,4.35,2.05,3.23,4.6
FIN,13/07/2019,Honka,HIFK,3,0,,,H,1.59,3.64,6.14,1.65,3.85,7.0
FIN,13/07/2019,SJK,VPS,1,0,,,H,1.81,3.32,4.71,1.87,3.48,5.5
FIN,14/07/2019,Lahti,Ilves,1,0,,,H,4.59,3.28,1.84,5.0,3.4,1.9
FIN,14/07/2019,Mariehamn,KPV Kokkola,3,0,,,H,1.6,3.88,5.4,1.65,4.15,6.0
FIN,20/07/2019,Ilves,HJK,1,1,,,D,2.87,3.0,2.61,3.15,3.2,2.78
FIN,20/07/2019,KPV Kokkola,SJK,1,2,,,A,2.9,2.99,2.58,3.05,3.17,2.73
FIN,20/07/2019,VPS,Lahti,1,1,,,D,2.31,3.09,3.24,2.4,3.24,3.44
FIN,21/07/2019,HIFK,Rovaniemi,1,0,,,H,2.59,2.87,3.01,2.69,3.1,3.17
FIN,21/07/2019,Inter Turku,Honka,3,1,,,H,2.52,3.28,2.74,2.61,3.42,2.87
FIN,21/07/2019,KuPS,Mariehamn,0,0,,,D,2.41,3.34,2.85,2.55,3.64,3.1
FIN,26/07/2019,SJK,Lahti,0,2,,,A,1.78,3.25,5.13,1.83,3.37,5.75
FIN,27/07/2019,HJK,VPS,1,1,,,D,1.39,4.42,8.25,1.43,4.7,9.5
FIN,27/07/2019,Honka,Ilves,1,2,,,A,2.39,3.07,3.11,2.53,3.18,3.3
FIN,28/07/2019,KPV Kokkola,KuPS,2,1,,,H,3.16,3.24,2.27,3.37,3.45,2.33
FIN,28/07/2019,Mariehamn,HIFK,1,3,,,A,1.73,3.57,4.82,1.8,3.7,5.25
FIN,28/07/2019,Rovaniemi,Inter Turku,0,2,,,A,3.93,3.44,1.93,4.33,3.61,1.97
FIN,04/08/2019,HJK,Mariehamn,2,1,,,H,1.29,5.29,9.54,1.33,5.8,11.0
FIN,04/08/2019,VPS,Inter Turku,1,2,,,A,3.06,3.07,2.4,3.28,3.27,2.52
FIN,05/08/2019,HIFK,Mariehamn,1,1,,,D,3.26,3.1,2.27,3.58,3.3,2.35
FIN,15/08/2019,SJK,Mariehamn,0,2,,,A,2.74,3.15,2.61,2.94,3.3,2.75
FIN,16/08/2019,Ilves,KuPS,0,2,,,A,2.21,3.2,3.33,2.3,3.34,3.5
FIN,16/08/2019,Inter Turku,HIFK,3,2,,,H,1.66,3.66,5.23,1.7,3.86,5.6
FIN,18/08/2019,KPV Kokkola,HJK,2,1,,,H,5.54,3.67,1.64,7.5,3.9,1.75
FIN,19/08/2019,Lahti,Honka,3,2,,,H,4.77,3.46,1.76,5.1,3.65,1.84
FIN,19/08/2019,SJK,Rovaniemi,0,0,,,D,2.05,3.13,3.85,2.1,3.29,4.2
FIN,19/08/2019,VPS,Mariehamn,2,1,,,H,3.81,3.63,1.9,4.2,4.01,1.98
FIN,23/08/2019,HIFK,Ilves,2,2,,,D,3.45,3.18,2.16,3.6,3.3,2.26
FIN,24/08/2019,Honka,HJK,0,1,,,A,3.64,3.14,2.12,3.89,3.27,2.46
FIN,24/08/2019,KuPS,VPS,5,0,,,H,1.53,4.02,6.16,1.57,4.2,7.0
FIN,25/08/2019,Mariehamn,SJK,1,0,,,H,1.88,3.45,4.15,1.95,3.66,4.6
FIN,25/08/2019,Rovaniemi,Lahti,3,0,,,H,2.19,3.06,3.53,2.3,3.24,3.8
FIN,26/08/2019,Inter Turku,KPV Kokkola,2,1,,,H,1.5,4.16,6.38,1.53,4.35,7.5
FIN,27/08/2019,Ilves,HIFK,3,1,,,H,1.8,3.36,4.7,1.88,3.6,5.4
FIN,31/08/2019,KPV Kokkola,Honka,0,1,,,A,3.78,3.49,1.94,4.1,3.7,2.05
FIN,31/08/2019,SJK,KuPS,1,3,,,A,3.28,3.19,2.22,3.5,3.35,2.36
FIN,31/08/2019,Ilves,Inter Turku,0,1,,,A,2.46,3.12,2.93,2.58,3.25,3.2
FIN,31/08/2019,VPS,HIFK,3,2,,,H,2.55,3.29,2.7,2.72,3.42,2.83
FIN,08/09/2019,HIFK,KPV Kokkola,3,2,,,H,2.04,3.22,3.75,2.13,3.34,4.0
FIN,13/09/2019,HIFK,KPV Kokkola,3,1,,,H,2.19,3.27,3.25,2.33,3.4,3.4
FIN,13/09/2019,SJK,VPS,1,1,,,D,2.05,3.24,3.66,2.11,3.4,3.9
FIN,14/09/2019,Lahti,Rovaniemi,3,0,,,H,2.89,2.98,2.59,3.05,3.13,2.8
FIN,15/09/2019,Inter Turku,Mariehamn,2,0,,,H,1.74,3.68,4.55,1.8,3.9,5.0
FIN,15/09/2019,Ilves,Honka,0,2,,,A,2.25,3.18,3.23,2.34,3.35,3.4
FIN,15/09/2019,KuPS,HJK,1,0,,,H,2.59,3.14,2.74,2.71,3.32,2.88
FIN,20/09/2019,VPS,Lahti,1,2,,,A,2.42,3.17,2.93,2.54,3.38,3.06
FIN,21/09/2019,Honka,HJK,3,1,,,H,2.49,3.28,2.75,2.65,3.45,2.91
FIN,21/09/2019,KPV Kokkola,Rovaniemi,4,1,,,H,2.48,3.19,2.83,2.6,3.33,3.0
FIN,21/09/2019,HIFK,SJK,2,0,,,H,2.29,3.09,3.24,2.38,3.25,3.5
FIN,22/09/2019,Ilves,Inter Turku,1,0,,,H,2.48,3.17,2.86,2.72,3.3,3.0
FIN,22/09/2019,Mariehamn,KuPS,0,1,,,A,3.96,3.66,1.84,4.2,3.9,1.89
FIN,27/09/2019,KuPS,Ilves,2,0,,,H,2.0,3.33,3.7,2.12,3.54,4.1
FIN,27/09/2019,SJK,KPV Kokkola,0,2,,,A,2.15,3.3,3.3,2.23,3.45,3.5
FIN,28/09/2019,Lahti,HIFK,2,2,,,D,2.82,2.95,2.66,2.94,3.1,2.81
FIN,28/09/2019,Inter Turku,Honka,0,1,,,A,2.33,3.33,2.94,2.46,3.54,3.1
FIN,28/09/2019,Rovaniemi,VPS,2,1,,,H,1.85,3.49,4.12,1.92,3.7,4.5
FIN,28/09/2019,HJK,Mariehamn,3,0,,,H,1.61,3.87,5.25,1.65,4.05,6.0
FIN,08/10/2019,HJK,Lahti,4,0,,,H,1.36,4.44,9.52,1.4,4.68,13.0
FIN,08/10/2019,Honka,SJK,0,0,,,D,1.62,3.74,5.55,1.7,3.98,6.5
FIN,08/10/2019,KuPS,Inter Turku,2,0,,,H,2.57,3.24,2.71,2.7,3.45,2.81
FIN,19/10/2019,HIFK,Rovaniemi,2,0,,,H,1.88,3.58,3.9,1.95,3.82,4.35
FIN,19/10/2019,Honka,Mariehamn,3,0,,,H,1.51,4.29,5.81,1.55,4.55,7.0
FIN,19/10/2019,Ilves,HJK,2,1,,,H,2.32,3.34,2.97,2.38,3.47,3.2
FIN,19/10/2019,Inter Turku,KuPS,0,2,,,A,2.44,3.36,2.77,2.58,3.53,2.93
FIN,19/10/2019,KPV Kokkola,VPS,2,3,,,A,1.93,3.69,3.59,2.03,3.88,3.85
FIN,19/10/2019,SJK,Lahti,0,0,,,D,2.13,3.39,3.32,2.3,3.6,3.8
FIN,23/10/2019,HJK,Lahti,2,2,,,D,1.37,4.5,8.74,1.43,4.85,10.5
FIN,23/10/2019,Mariehamn,HIFK,0,0,,,D,2.08,3.27,3.57,2.32,3.4,3.95
FIN,24/10/2019,TPS,KPV Kokkola,0,0,,,D,2.66,3.08,2.69,2.95,3.24,2.83
FIN,27/10/2019,KPV Kokkola,TPS,0,3,,,A,2.15,3.21,3.36,2.23,3.38,3.65
FIN,27/10/2019,HJK,Mariehamn,1,1,,,D,1.69,3.54,5.08,1.79,3.7,5.5
FIN,30/10/2019,Mariehamn,Honka,1,2,,,A,3.26,2.97,2.36,3.5,3.14,2.47
FIN,05/11/2019,HJK,SJK,2,2,,,D,1.73,3.42,5.07,1.8,3.58,5.75
FIN,05/11/2019,Honka,VPS,1,1,,,D,1.67,3.68,5.07,1.7,4.0,5.8
FIN,05/11/2019,KPV Kokkola,Lahti,0,0,,,D,2.73,2.88,2.81,2.89,3.0,3.0
FIN,08/11/2019,Mariehamn,Ilves,0,1,,,A,2.87,3.2,2.46,3.05,3.33,2.54
FIN,08/11/2019,Rovaniemi,VPS,2,1,,,H,2.05,3.18,3.8,2.12,3.28,4.15
FIN,05/12/2019,HIFK,KuPS,1,1,,,D,3.85,3.25,1.99,4.2,3.43,2.06
FIN,05/12/2019,Mariehamn,Inter Turku,1,2,,,A,2.59,3.16,2.72,2.72,3.3,2.9
FIN,05/12/2019,Rovaniemi,Ilves,0,1,,,A,3.28,2.88,2.38,3.6,2.99,2.5
