Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,AvgCH,AvgCD,AvgCA,MaxCH,MaxCD,MaxCA
G1,19/08/2017,Asteras Tripolis,Giannina,1,2,,2,A,1.7,3.4,5.5,1.81,3.75,5.5
G1,19/08/2017,Olympiakos,Larisa,4,1,1,,H,1.17,7.0,15.0,1.17,7.5,17.5
G1,19/08/2017,Xanthi,Lamia,0,0,,,D,1.67,3.3,6.0,1.67,3.52,7.81
G1,20/08/2017,AEK,Panetolikos,2,0,1,,H,1.36,4.5,9.0,1.36,5.0,13.94
G1,20/08/2017,Kerkyra,Panionios,0,1,,,A,3.75,3.1,2.1,4.1,3.1,2.33
G1,20/08/2017,Levadeiakos,PAOK,0,0,,,D,6.0,4.0,1.53,8.05,4.33,1.53
G1,20/08/2017,Platanias,Panathinaikos,1,1,,,D,4.2,3.1,2.0,4.63,3.3,2.05
G1,21/08/2017,Atromitos,Apollon,1,1,,,D,1.75,3.25,5.25,1.81,3.42,5.57
G1,26/08/2017,Lamia,Olympiakos,0,1,,1,A,15.0,7.0,1.17,19.0,7.6,1.2
G1,26/08/2017,Panetolikos,Atromitos,2,2,,1,D,2.4,3.0,3.2,2.52,3.15,3.27
G1,26/08/2017,Platanias,Xanthi,0,2,,2,A,2.3,3.0,3.4,2.46,3.0,3.6
G1,27/08/2017,Giannina,AEK,0,0,,,D,4.0,3.3,1.95,4.23,3.4,2.04
G1,27/08/2017,Panathinaikos,Levadeiakos,0,0,,,D,1.17,7.0,15.0,1.2,7.35,25.7
G1,27/08/2017,Panionios,Apollon,2,0,1,,H,1.6,3.3,6.5,1.73,3.6,7.39
G1,27/08/2017,PAOK,Kerkyra,3,1,1,1,H,1.07,8.5,21.0,1.1,10.5,34.0
G1,28/08/2017,Larisa,Asteras Tripolis,1,1,,,D,2.9,3.0,2.6,2.93,3.2,2.83
G1,09/09/2017,Asteras Tripolis,Lamia,1,3,,2,A,1.55,3.3,8.5,1.64,3.7,8.5
G1,09/09/2017,Atromitos,Giannina,0,0,,,D,2.0,3.1,4.2,2.14,3.15,4.3
G1,09/09/2017,Xanthi,Olympiakos,1,1,1,1,D,9.0,4.2,1.4,9.22,4.25,1.47
G1,10/09/2017,AEK,Larisa,4,0,2,,H,1.2,6.0,15.0,1.25,6.8,17.0
G1,10/09/2017,Kerkyra,Panathinaikos,1,0,1,,H,7.0,3.5,1.57,7.41,3.93,1.63
G1,10/09/2017,Levadeiakos,Platanias,1,1,,,D,2.25,3.1,3.3,2.38,3.1,3.82
G1,10/09/2017,Panionios,Panetolikos,1,1,,,D,1.65,3.3,6.5,1.75,3.51,7.0
G1,11/09/2017,Apollon,PAOK,0,0,,,D,10.0,4.33,1.36,10.15,4.6,1.45
G1,16/09/2017,Levadeiakos,Xanthi,1,0,1,,H,2.3,3.0,3.4,2.55,3.06,3.4
