Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,AvgCH,AvgCD,AvgCA,MaxCH,MaxCD,MaxCA
I2,22/08/2025,Pescara,Cesena,1,3,1,1,A,3.6,3.2,2.1,3.9,3.35,2.1
I2,23/08/2025,Empoli,Padova,3,1,2,1,H,1.9,3.7,3.8,1.91,3.7,4.33
I2,23/08/2025,Virtus Entella,Juve Stabia,1,1,,,D,2.35,3.1,3.2,2.38,3.25,3.2
I2,23/08/2025,Monza,Mantova,1,0,,,H,1.8,3.75,4.1,1.83,3.75,4.5
I2,23/08/2025,Palermo,Reggiana,2,1,1,,H,1.75,3.6,4.75,1.78,3.8,4.75
I2,24/08/2025,Spezia,Carrarese,0,2,,1,A,1.7,3.6,5.0,1.72,3.75,5.0
I2,24/08/2025,Venezia,Bari,2,1,2,1,H,2.05,3.25,3.9,2.1,3.35,3.9
I2,24/08/2025,Catanzaro,Sudtirol,1,1,,1,D,2.3,3.1,3.3,2.3,3.15,3.5
I2,24/08/2025,Frosinone,Avellino,2,0,2,,H,2.25,3.2,3.25,2.31,3.2,3.25
I2,25/08/2025,Sampdoria,Modena,0,2,,,A,2.2,3.0,3.6,2.2,3.3,3.66
I2,29/08/2025,Reggiana,Empoli,3,1,1,1,H,3.25,3.0,2.3,3.33,3.0,2.38
I2,30/08/2025,Juve Stabia,Venezia,0,0,,,D,2.85,3.1,2.45,3.0,3.15,2.6
I2,30/08/2025,Mantova,Pescara,2,1,1,,H,2.2,3.25,3.25,2.25,3.5,3.25
I2,30/08/2025,Cesena,Virtus Entella,1,1,,,D,1.96,3.1,4.2,2.06,3.15,4.33
I2,30/08/2025,Palermo,Frosinone,0,0,,,D,1.76,3.25,5.0,1.83,3.4,5.33
I2,30/08/2025,Spezia,Catanzaro,0,0,,,D,1.91,3.4,3.8,2.0,3.4,3.8
I2,31/08/2025,Carrarese,Padova,0,0,,,D,2.15,3.1,3.5,2.2,3.25,3.55
I2,31/08/2025,Sudtirol,Sampdoria,3,1,3,,H,2.45,3.2,2.82,2.6,3.2,2.85
I2,31/08/2025,Bari,Monza,1,1,1,1,D,3.1,3.0,2.4,3.2,3.1,2.45
I2,31/08/2025,Modena,Avellino,1,1,,,D,2.15,3.2,3.4,2.15,3.35,3.45
I2,12/09/2025,Avellino,Monza,2,1,1,,H,3.9,3.1,1.96,3.9,3.25,2.14
I2,13/09/2025,Juve Stabia,Reggiana,0,0,,,D,2.1,3.0,3.9,2.2,3.1,4.0
I2,13/09/2025,Modena,Bari,3,0,1,,H,2.3,3.2,3.25,2.38,3.2,3.25
