Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,AvgCH,AvgCD,AvgCA,MaxCH,MaxCD,MaxCA
MEX,01/07/2017,Veracruz,Queretaro,1,0,,,H,3.08,3.24,2.28,3.51,3.47,2.5
MEX,01/07/2017,Cruz Azul,Necaxa,1,0,,,H,1.94,3.29,3.92,2.01,3.5,4.34
MEX,05/07/2017,Club Leon,Cruz Azul,1,2,,,A,2.24,3.3,3.06,2.38,3.6,3.3
MEX,05/07/2017,Atlas,Chiapas,0,1,,,A,1.72,3.73,4.46,1.77,4.05,5.0
MEX,05/07/2017,Club America,Pachuca,2,3,,,A,2.57,3.25,2.63,2.68,3.5,2.82
MEX,05/07/2017,Club Tijuana,Veracruz,1,0,,,H,1.57,3.76,5.69,1.67,4.04,6.5
MEX,05/07/2017,Monterrey,Monarcas,1,2,,,A,1.75,3.76,4.22,1.83,4.05,4.61
MEX,05/07/2017,Necaxa,Guadalajara Chivas,0,0,,,D,2.87,3.09,2.48,3.05,3.35,2.65
MEX,05/07/2017,U.N.A.M.- Pumas,Puebla,0,1,,,A,1.84,3.48,4.12,1.9,3.7,4.65
MEX,08/07/2017,Veracruz,Puebla,2,0,,,H,2.67,3.11,2.64,2.86,3.28,2.85
MEX,22/07/2017,Monarcas,Monterrey,0,0,,,D,3.44,3.38,2.05,3.77,3.64,2.15
MEX,22/07/2017,Club Tijuana,Cruz Azul,0,2,,,A,2.18,3.15,3.34,2.29,3.38,3.6
MEX,22/07/2017,Club America,Queretaro,0,1,,,A,1.95,3.31,3.86,2.03,3.51,4.18
MEX,22/07/2017,Lobos BUAP,Santos Laguna,2,2,,,D,3.15,3.41,2.16,3.33,3.68,2.25
MEX,23/07/2017,U.A.N.L.- Tigres,Puebla,5,0,,,H,1.52,3.93,6.2,1.59,4.2,7.25
MEX,23/07/2017,Club Leon,Atlas,0,3,,,A,1.75,3.63,4.37,1.83,4.03,4.75
MEX,23/07/2017,Guadalajara Chivas,Toluca,0,0,,,D,2.75,3.07,2.58,3.06,3.25,2.75
MEX,23/07/2017,U.N.A.M.- Pumas,Pachuca,1,0,,,H,2.88,3.21,2.4,3.1,3.49,2.6
MEX,24/07/2017,Veracruz,Necaxa,0,2,,,A,2.39,3.07,3.02,2.52,3.24,3.24
MEX,29/07/2017,Puebla,Monarcas,1,1,,,D,2.25,3.18,3.16,2.38,3.35,3.34
MEX,29/07/2017,Atlas,U.N.A.M.- Pumas,2,1,,,H,2.12,3.38,3.26,2.21,3.68,3.56
MEX,29/07/2017,Cruz Azul,Guadalajara Chivas,1,1,,,D,1.71,3.43,5.07,1.79,3.68,5.75
MEX,29/07/2017,Queretaro,Lobos BUAP,0,4,,,A,1.9,3.41,3.94,2.02,3.58,4.39
MEX,30/07/2017,Monterrey,Veracruz,1,0,,,H,1.27,5.41,9.87,1.33,6.2,12.54
MEX,30/07/2017,Pachuca,Club America,0,2,,,A,1.99,3.32,3.7,2.1,3.55,4.15
MEX,30/07/2017,Necaxa,Club Tijuana,1,0,,,H,2.36,3.07,3.06,2.5,3.3,3.38
MEX,30/07/2017,Toluca,Club Leon,3,1,,,H,2.05,3.38,3.45,2.13,3.64,3.86
MEX,31/07/2017,Santos Laguna,U.A.N.L.- Tigres,1,1,,,D,3.2,3.21,2.22,3.48,3.43,2.45
MEX,01/08/2017,Monarcas,Club Tijuana,2,0,,,H,2.41,3.26,2.86,2.54,3.48,3.02
MEX,01/08/2017,U.A.N.L.- Tigres,Santos Laguna,0,0,,,D,2.26,3.26,3.11,2.46,3.5,3.52
