Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,AvgCH,AvgCD,AvgCA,MaxCH,MaxCD,MaxCA
N1,02/08/2019,Zwolle,Willem II,1,3,1,1,A,2.04,3.66,3.38,2.12,3.83,3.6
N1,03/08/2019,FC Emmen,Groningen,0,1,,,A,3.03,3.47,2.25,3.2,3.64,2.33
N1,03/08/2019,Vitesse,Ajax,2,2,1,1,D,5.77,4.63,1.49,6.5,4.84,1.54
N1,03/08/2019,Twente,PSV Eindhoven,1,1,1,,D,7.38,4.84,1.39,10.0,5.1,1.43
N1,03/08/2019,VVV Venlo,Waalwijk,3,1,,1,H,1.87,3.73,3.87,1.95,3.86,4.14
N1,04/08/2019,Heracles,Heerenveen,0,4,,3,A,2.02,3.79,3.31,2.06,3.96,3.55
N1,04/08/2019,Feyenoord,Sparta Rotterdam,2,2,,,D,1.26,6.12,9.5,1.29,7.0,11.5
N1,04/08/2019,Den Haag,Utrecht,2,4,2,2,A,3.29,3.61,2.08,3.5,3.8,2.15
N1,04/08/2019,AZ Alkmaar,For Sittard,4,0,,,H,1.26,6.12,9.8,1.29,6.5,11.5
N1,09/08/2019,Sparta Rotterdam,VVV Venlo,4,1,,1,H,1.99,3.7,3.47,2.07,3.92,3.61
N1,10/08/2019,Groningen,Twente,1,3,,,A,1.95,3.55,3.72,2.05,3.65,3.92
N1,10/08/2019,Ajax,FC Emmen,5,0,1,,H,1.08,10.52,27.05,1.1,12.0,46.0
N1,10/08/2019,Willem II,Vitesse,0,2,,,A,2.87,3.49,2.33,3.0,3.65,2.4
N1,11/08/2019,For Sittard,Heracles,1,1,,,D,2.33,3.68,2.76,2.41,3.9,3.0
N1,11/08/2019,Heerenveen,Feyenoord,1,1,,1,D,3.53,3.87,1.92,3.7,4.25,1.97
N1,11/08/2019,Waalwijk,AZ Alkmaar,0,2,,2,A,5.18,4.19,1.59,5.85,4.4,1.63
N1,11/08/2019,Utrecht,Zwolle,3,1,,1,H,1.5,4.38,5.96,1.55,4.65,7.0
N1,11/08/2019,PSV Eindhoven,Den Haag,3,1,1,1,H,1.13,8.35,16.81,1.17,9.2,21.0
N1,16/08/2019,Vitesse,Zwolle,3,0,,,H,1.31,5.54,8.65,1.34,5.83,10.0
N1,17/08/2019,Den Haag,Sparta Rotterdam,1,2,,2,A,2.77,3.58,2.38,2.88,3.8,2.48
N1,17/08/2019,VVV Venlo,Ajax,1,4,,1,A,15.68,7.88,1.15,21.0,8.5,1.17
N1,17/08/2019,FC Emmen,Heerenveen,2,0,2,,H,2.79,3.6,2.36,3.0,3.78,2.42
N1,18/08/2019,For Sittard,Willem II,2,3,1,3,A,2.97,3.64,2.23,3.1,3.8,2.4
N1,18/08/2019,Twente,Waalwijk,3,3,,1,D,1.49,4.48,6.02,1.53,4.71,6.75
N1,18/08/2019,AZ Alkmaar,Groningen,0,0,,,D,1.43,4.64,6.89,1.47,4.85,8.25
N1,18/08/2019,Feyenoord,Utrecht,1,1,,1,D,1.94,3.86,3.5,2.0,4.0,3.85
N1,18/08/2019,Heracles,PSV Eindhoven,0,2,,1,A,6.76,5.13,1.39,8.5,5.5,1.44
N1,24/08/2019,Willem II,FC Emmen,2,1,1,,H,1.74,3.92,4.32,1.79,4.05,5.0
N1,24/08/2019,Heracles,Vitesse,1,1,,,D,3.23,3.86,2.03,3.4,4.11,2.17
N1,24/08/2019,Heerenveen,Twente,0,0,,,D,2.18,3.58,3.09,2.23,3.74,3.25
N1,25/08/2019,Waalwijk,Den Haag,0,3,,1,A,2.37,3.58,2.76,2.42,3.75,3.1
N1,25/08/2019,Utrecht,VVV Venlo,1,2,,2,A,1.29,5.65,9.38,1.31,5.9,11.0
N1,25/08/2019,Zwolle,Sparta Rotterdam,2,2,1,1,D,3.27,3.77,2.03,3.4,3.95,2.1
N1,30/08/2019,FC Emmen,Zwolle,1,3,1,3,A,2.48,3.48,2.72,2.6,3.65,2.85
N1,31/08/2019,Heerenveen,For Sittard,1,1,1,1,D,1.48,4.61,5.98,1.53,4.79,6.5
N1,31/08/2019,Groningen,Heracles,1,2,,1,A,2.02,3.53,3.54,2.1,3.7,3.8
N1,31/08/2019,Den Haag,VVV Venlo,1,0,1,,H,2.05,3.68,3.31,2.22,3.84,3.5
N1,01/09/2019,Twente,Utrecht,3,1,1,,H,3.59,3.78,1.94,3.85,4.04,2.02
N1,01/09/2019,Sparta Rotterdam,Ajax,1,4,,2,A,8.82,6.2,1.27,10.5,6.6,1.31
