Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,AvgCH,AvgCD,AvgCA,MaxCH,MaxCD,MaxCA
NOR,04/07/2018,Valerenga,Stromsgodset,1,4,,,A,2.01,3.57,3.57,2.1,3.75,3.8
NOR,05/07/2018,Sarpsborg 08,Molde,2,2,,,D,2.29,3.36,3.08,2.45,3.6,3.28
NOR,07/07/2018,Rosenborg,Tromso,2,1,,,H,1.46,4.39,6.75,1.51,4.6,7.74
NOR,10/07/2018,Bodo/Glimt,Molde,0,1,,,A,3.23,3.51,2.16,3.4,3.65,2.25
NOR,10/07/2018,Kristiansund,Tromso,5,1,,,H,2.32,3.42,2.99,2.45,3.55,3.1
NOR,10/07/2018,Odd,Ranheim,2,0,,,H,1.69,3.83,4.87,1.8,4.0,5.25
NOR,10/07/2018,Rosenborg,Sandefjord,1,1,,,D,1.39,4.88,7.35,1.42,5.2,8.79
NOR,10/07/2018,Start,Sarpsborg 08,1,0,,,H,2.6,3.31,2.68,2.75,3.41,2.85
NOR,10/07/2018,Brann,Lillestrom,1,1,,,D,1.72,3.74,4.76,1.77,3.9,5.13
NOR,04/08/2018,Brann,Kristiansund,1,0,,,H,1.64,3.75,5.47,1.7,3.9,6.1
NOR,04/08/2018,Haugesund,Sarpsborg 08,1,1,,,D,2.75,3.2,2.61,2.91,3.35,2.76
NOR,04/08/2018,Odd,Bodo/Glimt,1,0,,,H,2.09,3.45,3.45,2.2,3.6,3.7
NOR,04/08/2018,Sandefjord,Stabaek,1,1,,,D,2.73,3.46,2.48,2.87,3.68,2.62
NOR,04/08/2018,Tromso,Ranheim,4,0,,,H,1.64,3.97,5.07,1.7,4.21,5.5
NOR,04/08/2018,Rosenborg,Molde,4,0,,,H,1.8,3.63,4.4,1.9,3.83,4.86
NOR,07/08/2018,Bodo/Glimt,Brann,2,2,,,D,2.8,3.25,2.52,2.9,3.41,2.65
NOR,07/08/2018,Haugesund,Sandefjord,4,2,,,H,1.48,4.1,7.18,1.55,4.3,8.4
NOR,07/08/2018,Odd,Lillestrom,3,1,,,H,2.0,3.55,3.62,2.1,3.72,4.0
NOR,07/08/2018,Sarpsborg 08,Ranheim,4,1,,,H,1.61,3.95,5.4,1.65,4.33,5.92
NOR,07/08/2018,Start,Stabaek,2,1,,,H,2.46,3.42,2.77,2.55,3.6,2.95
NOR,07/08/2018,Molde,Valerenga,5,1,,,H,1.71,3.82,4.72,1.77,4.15,5.19
NOR,13/08/2018,Haugesund,Valerenga,1,0,,,H,1.92,3.74,3.72,2.06,3.95,4.0
NOR,19/08/2018,Brann,Sarpsborg 08,2,0,,,H,1.72,3.74,4.79,1.82,4.0,5.2
NOR,19/08/2018,Kristiansund,Rosenborg,0,2,,,A,5.38,4.02,1.6,5.89,4.23,1.69
