Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,AvgCH,AvgCD,AvgCA,MaxCH,MaxCD,MaxCA
P1,01/07/2020,Belenenses,Tondela,1,1,1,1,D,2.62,3.0,2.84,2.8,3.18,3.03
P1,01/07/2020,Sp Lisbon,Gil Vicente,2,1,1,,H,1.53,3.94,6.31,1.62,4.16,7.5
P1,03/07/2020,Santa Clara,Maritimo,0,1,,,A,2.34,3.03,3.28,2.42,3.23,3.44
P1,04/07/2020,Setubal,Pacos Ferreira,2,3,2,,A,3.59,3.01,2.19,4.0,3.13,2.3
P1,04/07/2020,Portimonense,Guimaraes,0,1,,,A,3.41,3.22,2.15,3.6,3.55,2.25
P1,04/07/2020,Benfica,Boavista,3,1,3,,H,1.27,5.34,10.71,1.31,5.95,12.66
P1,04/07/2020,Sp Braga,Aves,4,0,,,H,1.19,6.82,13.16,1.24,7.82,15.48
P1,05/07/2020,Gil Vicente,Rio Ave,1,0,1,,H,3.83,3.25,2.01,4.03,3.47,2.1
P1,05/07/2020,Tondela,Famalicao,0,1,,,A,3.32,3.23,2.19,3.6,3.4,2.4
P1,05/07/2020,Porto,Belenenses,5,0,1,,H,1.19,6.5,13.6,1.23,7.6,16.72
P1,06/07/2020,Moreirense,Sp Lisbon,0,0,,,D,4.6,3.45,1.79,5.14,3.6,1.91
P1,08/07/2020,Boavista,Maritimo,0,1,,1,A,2.6,3.05,2.8,2.77,3.25,2.9
P1,08/07/2020,Aves,Setubal,1,0,1,,H,4.0,3.37,1.92,4.22,3.52,2.0
P1,09/07/2020,Rio Ave,Portimonense,2,1,1,1,H,1.85,3.48,4.15,1.95,3.65,4.35
P1,09/07/2020,Tondela,Porto,1,3,,,A,9.53,4.8,1.33,11.0,5.2,1.38
P1,09/07/2020,Famalicao,Benfica,1,1,,1,D,5.37,4.02,1.58,6.0,4.35,1.62
P1,10/07/2020,Guimaraes,Gil Vicente,1,2,,,A,1.61,3.81,5.44,1.68,4.17,6.0
P1,10/07/2020,Sp Lisbon,Santa Clara,1,0,,,H,1.63,3.65,5.51,1.74,3.88,5.97
P1,10/07/2020,Pacos Ferreira,Sp Braga,1,5,,3,A,3.99,3.5,1.88,4.37,3.85,1.95
P1,11/07/2020,Belenenses,Moreirense,0,1,,,A,2.44,3.17,2.91,2.63,3.35,3.1
P1,13/07/2020,Maritimo,Rio Ave,0,0,,,D,3.8,3.29,2.01,4.1,3.42,2.08
P1,13/07/2020,Setubal,Famalicao,1,2,1,1,A,3.25,3.31,2.19,3.42,3.42,2.27
P1,14/07/2020,Santa Clara,Aves,3,0,2,,H,1.64,3.84,5.12,1.7,4.02,5.65
P1,14/07/2020,Portimonense,Boavista,2,1,2,,H,1.64,3.71,5.32,1.72,4.0,5.55
P1,14/07/2020,Benfica,Guimaraes,2,0,1,,H,1.6,3.96,5.26,1.68,4.15,5.77
