Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,AvgCH,AvgCD,AvgCA,MaxCH,MaxCD,MaxCA
POL,04/07/2024,Widzew Lodz,Piast Gliwice,1,0,,,H,2.32,3.0,3.25,2.55,3.22,3.67
POL,04/07/2024,Lech Poznan,Pogon Szczecin,1,0,,,H,2.19,3.42,3.08,2.29,3.6,3.24
POL,04/07/2024,Legia,Jagiellonia,1,1,,,D,1.94,3.55,3.62,2.03,3.68,3.95
POL,19/07/2024,Jagiellonia,Puszcza,2,0,,,H,1.47,4.52,5.86,1.51,4.75,6.5
POL,19/07/2024,Slask Wroclaw,Lechia Gdansk,1,1,,,D,1.95,3.45,3.71,2.06,3.65,4.0
POL,20/07/2024,GKS Katowice,Radomiak Radom,1,2,,,A,2.64,3.29,2.58,2.75,3.4,2.72
POL,20/07/2024,Pogon Szczecin,Korona Kielce,3,0,,,H,1.55,4.07,5.55,1.62,4.2,6.02
POL,20/07/2024,Legia,Zaglebie,2,0,,,H,1.59,4.03,5.12,1.66,4.33,5.6
POL,21/07/2024,Cracovia,Piast Gliwice,1,1,,,D,2.69,2.95,2.78,2.95,3.0,3.17
POL,21/07/2024,Lech Poznan,Gornik Zabrze,2,0,,,H,1.69,4.05,4.36,1.88,4.59,4.87
POL,21/07/2024,Motor Lublin,Rakow,0,2,,,A,5.11,4.04,1.58,5.68,4.4,1.66
POL,22/07/2024,Stal Mielec,Widzew Lodz,1,1,,,D,2.66,3.38,2.5,2.79,3.5,2.57
POL,26/07/2024,Puszcza,Gornik Zabrze,2,2,,,D,2.43,3.27,2.83,2.58,3.35,3.0
POL,26/07/2024,Lechia Gdansk,Motor Lublin,0,2,,,A,1.79,3.75,4.07,1.88,3.91,4.35
POL,27/07/2024,Stal Mielec,GKS Katowice,0,1,,,A,2.33,3.27,2.97,2.47,3.4,3.2
POL,27/07/2024,Radomiak Radom,Jagiellonia,2,3,,,A,2.87,3.5,2.28,3.1,3.65,2.42
POL,27/07/2024,Widzew Lodz,Lech Poznan,2,1,,,H,2.81,3.46,2.34,3.0,3.61,2.47
POL,28/07/2024,Zaglebie,Pogon Szczecin,2,2,,,D,2.96,3.5,2.23,3.15,3.61,2.35
POL,28/07/2024,Piast Gliwice,Slask Wroclaw,2,0,,,H,1.71,3.38,5.22,1.8,3.5,5.9
POL,28/07/2024,Korona Kielce,Legia,0,1,,,A,3.91,3.27,1.96,4.2,3.4,2.05
POL,29/07/2024,Rakow,Cracovia,0,1,,,A,1.43,4.32,7.05,1.49,4.75,7.8
POL,03/08/2024,Piast Gliwice,Radomiak Radom,2,3,,,A,2.01,2.96,4.23,2.13,3.15,4.7
POL,03/08/2024,Jagiellonia,Slask Wroclaw,3,1,,,H,1.98,3.33,3.74,2.1,3.45,4.18
POL,04/08/2024,Zaglebie,Gornik Zabrze,1,2,,,A,2.04,3.33,3.54,2.15,3.56,3.82
POL,16/08/2024,Puszcza,Lechia Gdansk,4,1,,,H,2.22,3.38,3.06,2.4,3.48,3.25
POL,16/08/2024,GKS Katowice,Motor Lublin,0,0,,,D,1.79,3.73,4.1,1.89,3.9,4.3
POL,17/08/2024,Jagiellonia,Cracovia,2,4,,,A,1.85,3.47,4.13,1.92,3.65,4.5
POL,17/08/2024,Zaglebie,Lech Poznan,0,1,,,A,3.13,3.47,2.14,3.31,3.61,2.21
POL,17/08/2024,Pogon Szczecin,Widzew Lodz,2,0,,,H,1.62,4.07,4.8,1.67,4.28,5.25
POL,18/08/2024,Slask Wroclaw,Korona Kielce,1,1,,,D,1.93,3.19,4.18,2.07,3.35,4.72
POL,18/08/2024,Legia,Radomiak Radom,4,1,,,H,1.64,3.85,4.96,1.67,4.05,5.36
POL,18/08/2024,Gornik Zabrze,Rakow,0,0,,,D,3.47,3.4,2.04,3.64,3.6,2.12
POL,19/08/2024,Stal Mielec,Piast Gliwice,2,0,,,H,4.38,3.16,1.9,4.78,3.25,2.01
POL,23/08/2024,Widzew Lodz,Radomiak Radom,3,2,,,H,2.18,3.48,3.07,2.26,3.62,3.26
POL,23/08/2024,Lechia Gdansk,Rakow,1,2,,,A,4.38,3.9,1.7,4.54,4.25,1.78
POL,24/08/2024,Motor Lublin,Puszcza,0,0,,,D,2.18,3.29,3.25,2.38,3.4,3.5
POL,24/08/2024,Cracovia,Gornik Zabrze,3,2,,,H,2.2,3.27,3.22,2.27,3.48,3.46
POL,24/08/2024,Piast Gliwice,Zaglebie,1,0,,,H,1.76,3.44,4.72,1.81,3.53,5.18
POL,25/08/2024,GKS Katowice,Jagiellonia,3,1,,,H,2.74,3.5,2.38,2.92,3.69,2.45
POL,25/08/2024,Lech Poznan,Pogon Szczecin,2,0,,,H,2.36,3.45,2.79,2.46,3.65,2.94
POL,25/08/2024,Slask Wroclaw,Legia,1,1,,,D,3.03,3.12,2.38,3.13,3.22,2.46
POL,26/08/2024,Korona Kielce,Stal Mielec,2,1,,,H,1.91,3.35,4.04,2.02,3.43,4.48
POL,30/08/2024,Rakow,Piast Gliwice,0,1,,,A,1.98,3.03,4.18,2.05,3.23,4.64
POL,30/08/2024,Stal Mielec,Lech Poznan,0,2,,,A,4.12,3.42,1.86,4.41,3.61,1.93
POL,31/08/2024,Puszcza,Korona Kielce,0,0,,,D,2.61,3.01,2.79,2.84,3.2,2.97
POL,31/08/2024,Zaglebie,GKS Katowice,1,0,,,H,2.18,3.26,3.25,2.24,3.35,3.48
POL,31/08/2024,Radomiak Radom,Cracovia,2,1,,,H,2.35,3.26,2.92,2.48,3.4,3.05
POL,02/09/2024,Stal Mielec,Puszcza,2,1,,,H,2.24,3.16,3.24,2.36,3.32,3.45
POL,02/09/2024,Ruch Chorzow,Legia,0,1,,,A,5.8,3.95,1.55,6.5,4.24,1.6
POL,03/09/2024,Korona Kielce,Cracovia,1,1,,,D,2.58,2.98,2.86,2.75,3.2,2.98
POL,03/09/2024,Puszcza,Rakow,1,1,,,D,5.77,3.96,1.55,6.4,4.2,1.65
POL,03/09/2024,Gornik Zabrze,Lech Poznan,0,0,,,D,2.74,3.2,2.53,2.86,3.3,2.67
POL,08/09/2024,Radomiak Radom,Gornik Zabrze,1,2,,,A,2.15,3.42,3.17,2.25,3.7,3.34
POL,08/09/2024,Rakow,Lech Poznan,0,0,,,D,1.72,3.7,4.55,1.79,3.89,4.82
POL,13/09/2024,Motor Lublin,Gornik Zabrze,1,0,,,H,2.37,3.27,2.93,2.55,3.4,3.5
POL,13/09/2024,GKS Katowice,Widzew Lodz,2,2,,,D,2.27,3.34,3.04,2.38,3.52,3.2
POL,14/09/2024,Lechia Gdansk,Radomiak Radom,1,0,,,H,2.53,3.4,2.6,2.63,3.51,2.68
POL,14/09/2024,Cracovia,Pogon Szczecin,2,1,,,H,2.7,3.41,2.45,2.87,3.6,2.51
POL,14/09/2024,Lech Poznan,Jagiellonia,5,0,,,H,1.69,3.96,4.38,1.75,4.11,4.74
POL,15/09/2024,Piast Gliwice,Puszcza,1,1,,,D,1.56,3.7,6.13,1.61,4.04,6.76
POL,15/09/2024,Korona Kielce,Zaglebie,2,0,,,H,2.22,3.14,3.3,2.35,3.3,3.61
