Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,AvgCH,AvgCD,AvgCA,MaxCH,MaxCD,MaxCA
ROM,04/07/2018,FC Botosani,FC Voluntari,1,0,,,H,1.82,3.29,4.44,1.98,3.5,5.07
ROM,04/07/2018,Din. Bucuresti,Concordia,3,1,,,H,1.54,3.88,5.79,1.64,4.2,6.75
ROM,05/07/2018,Sepsi Sf. Gheorghe,Concordia,0,2,,,A,2.03,3.14,3.71,2.15,3.3,4.09
ROM,05/07/2018,Poli Iasi,FCSB,1,0,,,H,7.29,4.19,1.42,8.52,4.6,1.49
ROM,10/07/2018,Calarasi,FC Voluntari,1,1,,,D,2.01,3.21,3.77,2.11,3.33,4.2
ROM,10/07/2018,Sepsi Sf. Gheorghe,Gaz Metan Medias,1,2,,,A,2.54,2.87,2.99,2.67,2.96,3.21
ROM,10/07/2018,FCSB,Concordia,0,1,,,A,1.31,4.95,9.26,1.35,5.51,11.0
ROM,20/07/2018,CFR Cluj,FC Botosani,1,1,,,D,1.36,4.35,8.98,1.4,4.74,10.5
ROM,21/07/2018,FC Hermannstadt,Sepsi Sf. Gheorghe,1,0,,,H,3.29,2.89,2.35,3.54,3.05,2.45
ROM,21/07/2018,Astra,FCSB,1,0,,,H,4.44,3.43,1.79,4.93,3.72,1.87
ROM,22/07/2018,Viitorul Constanta,Calarasi,0,1,,,A,1.62,3.64,5.5,1.7,3.9,6.3
ROM,22/07/2018,Din. Bucuresti,FC Voluntari,2,1,,,H,1.45,4.13,6.97,1.5,4.48,7.89
ROM,23/07/2018,Gaz Metan Medias,Concordia,2,1,,,H,2.27,3.13,3.15,2.5,3.26,3.33
ROM,23/07/2018,U Craiova,Poli Iasi,0,0,,,D,1.56,3.66,6.22,1.63,4.0,7.27
ROM,27/07/2018,FC Botosani,FC Hermannstadt,2,0,,,H,2.03,3.07,3.89,2.14,3.2,4.35
ROM,28/07/2018,Calarasi,CFR Cluj,0,0,,,D,5.71,3.53,1.62,6.7,3.75,1.68
ROM,28/07/2018,Poli Iasi,Astra,1,1,,,D,2.55,3.03,2.8,2.7,3.16,2.99
ROM,29/07/2018,Sepsi Sf. Gheorghe,U Craiova,1,0,,,H,3.46,3.12,2.14,3.81,3.4,2.27
ROM,29/07/2018,FCSB,Din. Bucuresti,3,3,,,D,1.85,3.41,4.16,1.94,3.64,4.75
ROM,30/07/2018,FC Voluntari,Gaz Metan Medias,1,1,,,D,2.65,2.99,2.74,2.82,3.12,2.94
