Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,AvgCH,AvgCD,AvgCA,MaxCH,MaxCD,MaxCA
RUS,03/07/2021,Ural,Ufa,0,0,,,D,2.48,2.91,3.15,2.62,3.06,3.39
RUS,03/07/2021,Dynamo Moscow,Tambov,2,0,,,H,1.05,12.18,48.25,1.09,19.9,100.0
RUS,03/07/2021,Spartak Moscow,Krasnodar,6,1,,,H,2.29,3.42,2.99,2.49,3.63,3.2
RUS,05/07/2021,Akhmat Grozny,Tambov,3,1,,,H,1.06,13.44,35.98,1.12,21.0,101.0
RUS,05/07/2021,Sochi,R. Volgograd,2,1,,,H,1.35,4.81,8.93,1.4,5.37,10.8
RUS,08/07/2021,Zenit,Krasnodar,3,2,,,H,1.45,4.7,6.41,1.53,4.97,7.5
RUS,08/07/2021,Arsenal Tula,Krylya Sovetov,2,1,,,H,2.92,3.18,2.46,3.12,3.41,2.65
RUS,08/07/2021,Spartak Moscow,Pari NN,1,2,,,A,1.44,4.43,6.92,1.48,4.8,7.9
RUS,11/07/2021,Ural,Zenit,0,0,,,D,10.74,5.51,1.27,13.5,6.0,1.3
RUS,11/07/2021,FK Rostov,Rubin Kazan,5,1,,,H,2.29,3.2,3.19,2.55,3.36,3.51
RUS,11/07/2021,Akhmat Grozny,Pari NN,3,1,,,H,1.65,3.59,5.65,1.75,3.77,6.76
RUS,11/07/2021,Spartak Moscow,Lokomotiv Moscow,1,1,,,D,2.12,3.45,3.34,2.22,3.88,3.62
RUS,23/07/2021,FK Rostov,Dynamo Moscow,0,2,,,A,3.21,3.12,2.33,3.72,3.32,2.41
RUS,24/07/2021,Khimki,Zenit,1,3,,,A,9.89,5.54,1.29,12.9,6.55,1.34
RUS,24/07/2021,Lokomotiv Moscow,Arsenal Tula,3,1,,,H,1.63,3.71,5.67,1.7,3.94,6.68
RUS,24/07/2021,Rubin Kazan,Spartak Moscow,1,0,,,H,3.51,3.57,2.02,4.01,3.85,2.18
RUS,25/07/2021,Ural,Krasnodar,0,3,,,A,3.53,3.32,2.1,4.74,3.77,2.23
RUS,25/07/2021,Krylya Sovetov,Akhmat Grozny,1,2,,,A,2.07,3.3,3.6,2.23,3.64,3.86
