Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,AvgCH,AvgCD,AvgCA,MaxCH,MaxCD,MaxCA
SC1,05/08/2017,Dumbarton,Morton,0,0,,,D,2.8,3.25,2.5,3.07,3.45,2.5
SC1,05/08/2017,Inverness C,Dundee United,0,1,,1,A,2.63,3.2,2.7,2.68,3.65,2.7
SC1,05/08/2017,Livingston,Dunfermline,1,1,1,,D,2.6,3.25,2.7,2.8,3.65,2.72
SC1,05/08/2017,Queen of Sth,Brechin,4,1,2,,H,1.53,4.0,6.0,1.61,4.25,6.0
SC1,05/08/2017,St Mirren,Falkirk,3,1,1,1,H,2.4,3.25,2.9,2.54,3.52,2.9
SC1,12/08/2017,Brechin,Livingston,2,2,,2,D,4.33,3.8,1.75,4.65,3.88,1.81
SC1,12/08/2017,Dundee United,Queen of Sth,2,1,1,1,H,1.62,3.8,5.5,1.72,3.89,5.5
SC1,12/08/2017,Dunfermline,Inverness C,5,1,3,1,H,2.2,3.5,3.1,2.41,3.5,3.13
SC1,12/08/2017,Falkirk,Dumbarton,1,1,1,1,D,1.6,3.6,6.25,1.6,4.34,6.25
SC1,12/08/2017,Morton,St Mirren,4,1,1,1,H,2.5,3.4,2.7,2.71,3.4,2.81
SC1,19/08/2017,Dundee United,Brechin,1,0,,,H,1.2,7.0,11.0,1.27,7.0,12.4
SC1,19/08/2017,Dunfermline,Falkirk,3,1,2,,H,2.55,3.6,2.55,2.78,3.6,2.63
SC1,19/08/2017,Inverness C,Morton,1,1,1,,D,2.3,3.4,3.0,2.48,3.54,3.0
SC1,19/08/2017,Livingston,St Mirren,1,3,1,1,A,2.15,3.5,3.2,2.35,3.71,3.2
SC1,19/08/2017,Queen of Sth,Dumbarton,1,0,1,,H,1.6,4.0,5.25,1.67,4.2,5.29
SC1,26/08/2017,Brechin,Inverness C,0,4,,2,A,6.0,3.8,1.57,6.0,4.3,1.63
SC1,26/08/2017,Dumbarton,Dunfermline,0,4,,2,A,3.6,3.6,1.95,3.76,3.68,2.03
SC1,26/08/2017,Falkirk,Queen of Sth,1,4,,2,A,2.05,3.5,3.4,2.1,3.65,3.63
SC1,26/08/2017,Morton,Livingston,0,1,,,A,2.05,3.6,3.3,2.21,3.65,3.6
SC1,26/08/2017,St Mirren,Dundee United,3,0,1,,H,2.9,3.5,2.25,2.9,3.65,2.49
SC1,09/09/2017,Brechin,Falkirk,1,1,,1,D,5.0,4.5,1.55,5.61,4.5,1.61
SC1,09/09/2017,Dundee United,Dumbarton,1,1,,1,D,1.36,4.75,8.0,1.45,4.85,8.0
SC1,09/09/2017,Livingston,Queen of Sth,2,2,1,,D,2.45,3.6,2.63,2.53,3.6,2.83
SC1,09/09/2017,Morton,Dunfermline,3,2,,2,H,2.4,3.5,2.75,2.64,3.5,2.93
SC1,09/09/2017,St Mirren,Inverness C,4,2,1,,H,2.15,3.5,3.2,2.23,3.6,3.37
SC1,16/09/2017,Dumbarton,Brechin,2,1,,1,H,2.0,3.75,3.3,2.06,3.81,3.61
SC1,16/09/2017,Dunfermline,St Mirren,3,0,2,,H,2.5,3.4,2.7,2.52,3.64,2.88
SC1,16/09/2017,Falkirk,Dundee United,0,0,,,D,2.5,3.6,2.6,2.76,3.6,2.7
SC1,16/09/2017,Inverness C,Livingston,1,3,1,1,A,2.0,3.5,3.6,2.12,3.63,3.75
SC1,16/09/2017,Queen of Sth,Morton,1,2,1,2,A,2.1,3.5,3.25,2.25,3.5,3.4
