Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,AvgCH,AvgCD,AvgCA,MaxCH,MaxCD,MaxCA
SP2,18/08/2017,Lorca,Leonesa,2,0,1,,H,2.45,3.1,3.0,2.64,3.14,3.1
SP2,18/08/2017,Tenerife,Zaragoza,1,0,,,H,1.95,3.1,4.33,2.12,3.29,4.33
SP2,19/08/2017,Alcorcon,Sp Gijon,0,0,,,D,2.5,3.0,3.0,2.71,3.2,3.0
SP2,19/08/2017,Cordoba,Cadiz,1,2,,2,A,2.2,3.0,3.6,2.3,3.24,3.63
SP2,19/08/2017,Numancia,Huesca,1,0,,,H,2.15,3.0,3.75,2.33,3.2,3.75
SP2,19/08/2017,Osasuna,Sevilla B,1,1,,,D,1.73,3.3,5.5,1.9,3.7,5.5
SP2,19/08/2017,Valladolid,Barcelona B,1,2,,2,A,1.85,3.4,4.33,1.95,3.58,4.46
SP2,20/08/2017,Gimnastic,Almeria,0,1,,1,A,2.25,3.0,3.5,2.25,3.25,3.76
SP2,20/08/2017,Granada,Albacete,0,0,,,D,1.8,3.3,4.75,1.83,3.61,5.0
SP2,20/08/2017,Oviedo,Vallecano,2,3,1,2,A,2.38,3.0,3.25,2.44,3.21,3.3
SP2,21/08/2017,Lugo,Reus Deportiu,0,0,,,D,2.1,3.0,4.0,2.12,3.15,4.24
SP2,25/08/2017,Albacete,Cordoba,0,3,,1,A,2.5,3.2,2.8,2.7,3.2,3.01
SP2,26/08/2017,Almeria,Oviedo,1,1,,,D,2.4,3.1,3.1,2.4,3.2,3.51
SP2,26/08/2017,Leonesa,Osasuna,2,1,,1,H,3.3,3.1,2.3,3.3,3.15,2.6
SP2,26/08/2017,Sevilla B,Valladolid,1,2,,2,A,2.6,3.2,2.8,2.7,3.25,2.97
SP2,26/08/2017,Vallecano,Numancia,2,2,2,,D,1.91,3.4,4.0,1.95,3.5,4.69
SP2,27/08/2017,Cadiz,Alcorcon,0,0,,,D,2.0,3.2,4.0,2.09,3.2,4.5
SP2,27/08/2017,Reus Deportiu,Gimnastic,1,1,1,,D,2.1,3.0,4.0,2.2,3.1,4.16
SP2,27/08/2017,Sp Gijon,Lugo,2,0,,,H,1.8,3.5,4.5,1.87,3.5,5.21
SP2,27/08/2017,Zaragoza,Granada,1,1,,1,D,2.4,3.1,3.1,2.42,3.15,3.45
SP2,28/08/2017,Barcelona B,Tenerife,0,3,,2,A,2.4,3.2,3.0,2.57,3.25,3.1
SP2,01/09/2017,Granada,Barcelona B,2,2,1,1,D,1.73,3.6,4.75,1.86,3.66,4.86
SP2,02/09/2017,Gimnastic,Sp Gijon,0,4,,3,A,2.5,3.0,3.0,2.62,3.14,3.08
SP2,02/09/2017,Lorca,Vallecano,0,0,,,D,2.88,3.2,2.5,3.0,3.25,2.6
SP2,02/09/2017,Lugo,Cadiz,0,1,,,A,2.3,3.1,3.2,2.41,3.17,3.4
SP2,02/09/2017,Numancia,Almeria,1,0,,,H,2.05,3.2,3.75,2.14,3.3,4.03
SP2,02/09/2017,Osasuna,Huesca,1,1,,,D,1.95,3.2,4.2,2.05,3.36,4.44
SP2,03/09/2017,Cordoba,Zaragoza,1,2,1,1,A,2.3,3.1,3.3,2.38,3.23,3.5
SP2,03/09/2017,Oviedo,Reus Deportiu,3,0,1,,H,1.91,3.3,4.2,1.97,3.3,4.82
SP2,03/09/2017,Sevilla B,Leonesa,1,2,,,A,2.4,3.1,3.1,2.5,3.19,3.29
SP2,03/09/2017,Valladolid,Tenerife,2,0,1,,H,2.25,3.2,3.2,2.34,3.25,3.49
SP2,04/09/2017,Alcorcon,Albacete,1,0,,,H,1.8,3.4,4.75,1.85,3.45,5.42
SP2,08/09/2017,Cadiz,Gimnastic,2,0,,,H,1.73,3.4,5.25,1.75,3.61,5.8
SP2,09/09/2017,Almeria,Lorca,2,1,,,H,1.7,3.3,5.75,1.8,3.57,5.75
SP2,09/09/2017,Barcelona B,Cordoba,4,0,3,,H,2.4,3.3,2.9,2.47,3.47,3.05
SP2,09/09/2017,Huesca,Sevilla B,0,0,,,D,1.65,3.6,5.5,1.75,3.77,5.71
SP2,09/09/2017,Sp Gijon,Oviedo,1,1,1,,D,1.85,3.4,4.33,1.92,3.5,4.6
SP2,10/09/2017,Albacete,Lugo,0,1,,,A,2.45,3.1,3.0,2.58,3.12,3.15
SP2,10/09/2017,Leonesa,Valladolid,4,4,1,1,D,2.38,3.0,3.2,2.58,3.18,3.2
SP2,10/09/2017,Tenerife,Granada,2,2,,1,D,1.95,3.3,4.0,2.1,3.3,4.34
SP2,10/09/2017,Vallecano,Osasuna,0,3,,1,A,2.1,3.4,3.4,2.12,3.4,3.91
SP2,10/09/2017,Zaragoza,Alcorcon,0,1,,1,A,1.85,3.6,4.0,2.0,3.6,4.76
SP2,11/09/2017,Reus Deportiu,Numancia,1,0,1,,H,2.6,3.0,2.88,2.6,3.2,3.0
SP2,15/09/2017,Lugo,Zaragoza,2,1,,1,H,2.4,3.1,3.1,2.49,3.21,3.3
SP2,16/09/2017,Lorca,Reus Deportiu,1,1,1,,D,2.3,3.0,3.4,2.45,3.15,3.44
SP2,16/09/2017,Numancia,Sp Gijon,3,0,2,,H,2.3,3.0,3.4,2.44,3.24,3.4
SP2,16/09/2017,Osasuna,Almeria,2,1,,1,H,1.85,3.3,4.5,1.96,3.49,4.5
SP2,16/09/2017,Sevilla B,Vallecano,0,0,,,D,3.2,3.3,2.25,3.25,3.43,2.38
SP2,16/09/2017,Valladolid,Granada,2,1,1,,H,1.85,3.5,4.2,1.95,3.66,4.41
SP2,17/09/2017,Alcorcon,Barcelona B,1,1,,,D,2.0,3.3,3.8,2.09,3.33,4.06
SP2,17/09/2017,Cordoba,Tenerife,2,0,,,H,2.4,3.2,3.0,2.65,3.25,3.07
SP2,17/09/2017,Gimnastic,Albacete,3,1,2,1,H,2.1,3.1,3.7,2.17,3.3,3.95
SP2,17/09/2017,Leonesa,Huesca,3,2,2,1,H,2.2,3.2,3.4,2.36,3.25,3.4
SP2,17/09/2017,Oviedo,Cadiz,1,0,,,H,2.15,3.1,3.6,2.28,3.2,3.9
SP2,22/09/2017,Almeria,Sevilla B,3,0,1,,H,1.91,3.5,4.0,1.98,3.5,4.84
SP2,23/09/2017,Granada,Cordoba,3,1,1,,H,2.15,3.0,3.75,2.2,3.3,3.8
SP2,23/09/2017,Reus Deportiu,Osasuna,0,0,,,D,2.7,3.0,2.8,2.86,3.05,3.0
SP2,23/09/2017,Sp Gijon,Lorca,1,0,1,,H,1.65,3.4,6.0,1.7,3.72,6.04
SP2,23/09/2017,Tenerife,Alcorcon,4,0,2,,H,1.83,3.1,5.0,1.89,3.2,5.75
SP2,24/09/2017,Albacete,Oviedo,2,1,,,H,3.1,2.9,2.5,3.24,3.15,2.6
SP2,24/09/2017,Cadiz,Numancia,0,0,,,D,2.0,3.1,4.2,2.2,3.15,4.2
SP2,24/09/2017,Huesca,Valladolid,1,0,1,,H,2.2,3.0,3.6,2.35,3.35,3.6
SP2,24/09/2017,Vallecano,Leonesa,3,1,1,1,H,1.75,3.4,5.0,1.85,3.67,5.0
SP2,24/09/2017,Zaragoza,Gimnastic,1,1,1,,D,1.67,3.4,5.75,1.76,3.45,6.28
SP2,25/09/2017,Barcelona B,Lugo,1,2,1,1,A,1.95,3.2,4.2,2.0,3.48,4.2
SP2,29/09/2017,Leonesa,Almeria,0,0,,,D,2.1,3.2,3.6,2.2,3.4,3.73
SP2,30/09/2017,Lorca,Cadiz,3,0,1,,H,2.88,3.0,2.63,2.91,3.11,2.78
SP2,30/09/2017,Numancia,Albacete,5,1,1,1,H,1.8,3.5,4.5,1.85,3.5,5.1
SP2,30/09/2017,Valladolid,Cordoba,4,1,3,,H,1.85,3.3,4.5,1.94,3.49,4.5
SP2,01/10/2017,Alcorcon,Granada,1,2,1,1,A,2.15,3.1,3.6,2.31,3.14,3.65
SP2,01/10/2017,Huesca,Vallecano,2,1,1,1,H,2.5,3.1,2.9,2.5,3.26,3.35
SP2,01/10/2017,Lugo,Tenerife,1,0,,,H,2.5,3.0,3.0,2.71,3.1,3.1
SP2,01/10/2017,Osasuna,Sp Gijon,2,0,1,,H,2.25,3.1,3.4,2.25,3.23,3.74
SP2,01/10/2017,Sevilla B,Reus Deportiu,0,1,,1,A,2.38,3.1,3.1,2.55,3.1,3.26
SP2,02/10/2017,Oviedo,Zaragoza,2,2,2,2,D,1.85,3.2,4.75,1.91,3.4,4.9
SP2,07/10/2017,Almeria,Huesca,0,3,,2,A,2.25,3.0,3.5,2.37,3.25,3.52
SP2,07/10/2017,Cadiz,Osasuna,0,2,,,A,2.15,3.1,3.6,2.32,3.1,3.8
SP2,07/10/2017,Reus Deportiu,Leonesa,1,1,1,1,D,2.25,3.1,3.4,2.35,3.1,3.79
SP2,07/10/2017,Sp Gijon,Sevilla B,3,0,1,,H,1.57,3.75,6.25,1.64,3.82,6.63
SP2,07/10/2017,Tenerife,Gimnastic,2,0,,,H,1.62,3.6,6.0,1.66,3.92,6.26
SP2,08/10/2017,Albacete,Lorca,2,1,1,,H,2.05,3.0,4.1,2.13,3.25,4.23
SP2,08/10/2017,Barcelona B,Oviedo,1,1,1,,D,2.6,3.2,2.7,2.84,3.45,2.75
SP2,08/10/2017,Cordoba,Alcorcon,3,0,,,H,2.1,3.1,3.75,2.16,3.2,4.1
SP2,08/10/2017,Granada,Lugo,2,0,1,,H,1.91,3.1,4.6,2.05,3.35,4.6
SP2,08/10/2017,Vallecano,Valladolid,4,1,3,,H,2.15,3.3,3.4,2.21,3.47,3.52
SP2,08/10/2017,Zaragoza,Numancia,3,0,1,,H,1.95,3.25,4.1,2.0,3.35,4.66
SP2,10/10/2017,Huesca,Reus Deportiu,1,1,,,D,1.8,3.25,5.0,1.83,3.37,5.65
SP2,10/10/2017,Leonesa,Sp Gijon,0,2,,,A,3.0,3.0,2.5,3.0,3.3,2.73
SP2,11/10/2017,Gimnastic,Granada,2,0,2,,H,2.5,3.0,3.0,2.74,3.15,3.0
SP2,11/10/2017,Lorca,Zaragoza,0,2,,,A,3.0,3.0,2.5,3.0,3.2,2.75
SP2,11/10/2017,Numancia,Barcelona B,1,0,,,H,1.8,3.4,4.75,1.88,3.61,4.75
SP2,11/10/2017,Oviedo,Tenerife,1,1,1,,D,2.05,3.2,3.8,2.13,3.2,4.21
SP2,11/10/2017,Sevilla B,Cadiz,0,0,,,D,2.7,3.0,2.8,2.86,3.1,2.88
SP2,12/10/2017,Lugo,Cordoba,2,0,,,H,2.25,3.2,3.25,2.43,3.2,3.4
SP2,12/10/2017,Osasuna,Albacete,1,0,1,,H,1.62,3.5,6.25,1.7,3.76,6.25
