Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,AvgCH,AvgCD,AvgCA,MaxCH,MaxCD,MaxCA
SUI,04/07/2019,Basel,Lugano,1,1,,,D,1.53,4.05,6.02,1.59,4.63,7.1
SUI,04/07/2019,Sion,Luzern,2,2,,,D,2.72,3.38,2.46,2.9,3.6,2.57
SUI,04/07/2019,Young Boys,Thun,5,1,,,H,1.32,5.31,8.04,1.36,5.75,9.0
SUI,12/07/2019,Xamax,Lugano,1,1,,,D,2.78,3.24,2.5,2.9,3.4,2.6
SUI,12/07/2019,Young Boys,Luzern,1,0,,,H,1.25,6.0,9.81,1.3,6.6,12.0
SUI,19/07/2019,Sion,Basel,1,4,,,A,5.2,4.19,1.57,5.75,4.45,1.63
SUI,20/07/2019,St. Gallen,Luzern,0,2,,,A,2.93,3.54,2.25,3.11,3.78,2.46
SUI,20/07/2019,Thun,Xamax,2,2,,,D,2.17,3.55,3.08,2.29,3.75,3.3
SUI,21/07/2019,Young Boys,Servette,1,1,,,D,1.39,5.14,6.49,1.45,5.6,7.85
SUI,21/07/2019,Zurich,Lugano,0,4,,,A,2.65,3.31,2.57,2.75,3.52,2.7
SUI,27/07/2019,Basel,St. Gallen,1,2,,,A,1.33,5.17,8.07,1.45,5.6,10.0
SUI,27/07/2019,Servette,Sion,0,0,,,D,1.74,3.9,4.25,2.0,4.2,5.0
SUI,28/07/2019,Lugano,Thun,0,0,,,D,1.86,3.56,4.02,1.94,3.8,4.49
SUI,28/07/2019,Luzern,Zurich,0,0,,,D,1.85,3.67,3.92,1.91,3.85,4.18
SUI,28/07/2019,Xamax,Young Boys,0,1,,,A,5.67,4.53,1.49,6.2,4.95,1.6
SUI,12/08/2019,Basel,Sion,4,0,,,H,1.37,4.92,7.28,1.41,5.33,8.44
SUI,12/08/2019,Thun,St. Gallen,1,4,,,A,3.83,4.04,1.78,4.17,4.31,1.83
SUI,12/08/2019,Zurich,Servette,0,5,,,A,2.12,3.6,3.15,2.27,3.84,3.5
SUI,14/08/2019,Zurich,St. Gallen,2,1,,,H,2.12,3.64,3.12,2.21,3.9,3.35
SUI,24/08/2019,Xamax,Basel,0,3,,,A,5.81,4.51,1.49,6.45,4.75,1.54
SUI,24/08/2019,Young Boys,Zurich,4,0,,,H,1.4,4.87,6.86,1.62,5.4,8.0
SUI,25/08/2019,Sion,Luzern,2,1,,,H,2.44,3.45,2.72,2.66,3.66,2.88
SUI,25/08/2019,St. Gallen,Lugano,3,2,,,H,2.91,3.32,2.38,3.25,3.5,2.58
SUI,25/08/2019,Thun,Servette,0,4,,,A,3.04,3.65,2.16,3.15,3.89,2.31
SUI,31/08/2019,Servette,Xamax,2,2,,,D,1.56,4.23,5.23,1.67,4.48,5.8
SUI,02/09/2019,Basel,St. Gallen,1,1,,,D,1.47,4.46,6.07,1.54,4.86,6.7
SUI,02/09/2019,Zurich,Grasshoppers,3,1,,,H,1.74,3.65,4.52,1.84,3.9,5.05
SUI,03/09/2019,Grasshoppers,Young Boys,0,1,,,A,5.72,4.2,1.52,6.5,4.5,1.57
SUI,03/09/2019,Xamax,Sion,3,1,,,H,2.64,3.37,2.53,2.88,3.57,2.63
SUI,11/09/2019,Luzern,Servette,1,2,,,A,2.43,3.4,2.76,2.61,3.54,2.9
SUI,11/09/2019,Xamax,Thun,2,3,,,A,2.28,3.46,2.94,2.38,3.68,3.1
SUI,21/09/2019,St. Gallen,Servette,3,1,,,H,2.69,3.57,2.4,2.87,3.78,2.59
SUI,21/09/2019,Xamax,Sion,1,3,,,A,2.79,3.42,2.4,2.96,3.6,2.5
SUI,22/09/2019,Lugano,Luzern,1,1,,,D,2.27,3.43,3.0,2.37,3.6,3.25
SUI,22/09/2019,Young Boys,Basel,1,1,,,D,1.95,3.81,3.44,2.05,4.0,3.66
