Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,AvgCH,AvgCD,AvgCA,MaxCH,MaxCD,MaxCA
SWE,04/07/2016,Djurgarden,Falkenbergs,5,0,,,H,1.32,5.03,9.06,1.4,5.6,11.25
SWE,04/07/2016,Elfsborg,Hammarby,4,1,,,H,1.65,3.84,5.04,1.72,4.33,5.85
SWE,04/07/2016,Helsingborg,Orebro,1,3,,,A,2.17,3.36,3.22,2.26,3.59,3.5
SWE,04/07/2016,Ostersunds,AIK,0,2,,,A,2.58,3.16,2.75,2.85,3.38,2.93
SWE,04/07/2016,Sundsvall,Gefle,1,2,,,A,1.78,3.63,4.37,1.85,3.94,5.1
SWE,05/07/2016,Elfsborg,Gefle,2,0,,,H,1.26,5.7,10.39,1.31,6.36,12.0
SWE,05/07/2016,Ostersunds,Kalmar,1,0,,,H,1.86,3.55,4.05,2.0,3.79,4.51
SWE,08/07/2016,Malmo FF,AIK,2,0,,,H,1.66,3.72,5.22,1.72,3.92,5.72
SWE,08/07/2016,Elfsborg,Hacken,2,4,,,A,2.12,3.52,3.24,2.25,3.78,3.76
SWE,08/07/2016,Hammarby,Kalmar,2,1,,,H,1.95,3.51,3.75,2.1,3.77,4.05
SWE,08/07/2016,Norrkoping,Orebro,3,1,,,H,1.51,4.35,5.82,1.57,4.77,6.54
SWE,16/07/2016,Norrkoping,Ostersunds,3,3,,,D,1.72,3.78,4.59,1.81,4.1,5.06
SWE,16/07/2016,Sundsvall,Helsingborg,0,2,,,A,1.93,3.6,3.71,2.01,3.92,4.2
SWE,17/07/2016,Elfsborg,Goteborg,1,1,,,D,2.47,3.33,2.79,2.65,3.52,2.93
SWE,17/07/2016,AIK,Malmo FF,1,1,,,D,2.82,3.19,2.52,2.98,3.37,2.7
SWE,17/07/2016,Hammarby,Falkenbergs,3,3,,,D,1.37,4.94,7.62,1.43,5.38,8.72
SWE,17/07/2016,Orebro,Hacken,0,0,,,D,2.34,3.49,2.85,2.48,3.68,3.08
SWE,18/07/2016,Gefle,Kalmar,4,2,,,H,3.53,3.39,2.05,3.77,3.64,2.2
SWE,18/07/2016,Jonkopings,Djurgarden,1,0,,,H,2.88,3.24,2.45,3.12,3.4,2.66
SWE,23/07/2016,Falkenbergs,Orebro,1,3,,,A,3.28,3.63,2.07,3.7,3.98,2.22
SWE,23/07/2016,Malmo FF,Kalmar,1,1,,,D,1.44,4.42,6.93,1.5,4.9,7.93
SWE,23/07/2016,Norrkoping,Gefle,2,0,,,H,1.31,5.47,8.59,1.35,6.07,10.4
SWE,24/07/2016,Hammarby,AIK,0,3,,,A,2.62,3.36,2.59,2.8,3.6,2.72
SWE,24/07/2016,Goteborg,Jonkopings,2,1,,,H,1.35,4.93,8.38,1.4,5.4,10.4
SWE,24/07/2016,Helsingborg,Hacken,0,2,,,A,2.85,3.5,2.34,3.01,3.77,2.47
SWE,25/07/2016,Djurgarden,Sundsvall,1,3,,,A,1.59,4.04,5.27,1.67,4.5,5.95
SWE,25/07/2016,Elfsborg,Ostersunds,3,1,,,H,1.74,3.84,4.35,1.83,4.1,4.85
SWE,30/07/2016,Gefle,Hammarby,0,2,,,A,3.39,3.55,2.06,3.75,3.82,2.2
SWE,30/07/2016,Ostersunds,Elfsborg,0,0,,,D,2.54,3.44,2.64,2.75,3.67,2.88
SWE,30/07/2016,Sundsvall,Norrkoping,1,2,,,A,3.09,3.55,2.18,3.39,3.76,2.36
SWE,31/07/2016,Jonkopings,Goteborg,1,1,,,D,4.16,3.64,1.83,4.5,4.0,2.02
SWE,31/07/2016,AIK,Falkenbergs,2,0,,,H,1.34,4.98,8.53,1.38,6.0,10.31
SWE,31/07/2016,Hacken,Helsingborg,1,1,,,D,1.51,4.33,5.89,1.56,4.76,6.5
SWE,05/08/2016,Helsingborg,Malmo FF,2,1,,,H,4.49,3.66,1.76,4.95,3.95,1.82
SWE,05/08/2016,Jonkopings,Norrkoping,0,2,,,A,4.0,3.57,1.86,4.4,3.82,1.96
SWE,05/08/2016,Hacken,AIK,2,3,,,A,2.15,3.44,3.22,2.35,3.71,3.5
SWE,08/08/2016,Djurgarden,Goteborg,3,1,,,H,2.83,3.29,2.45,3.1,3.47,2.58
SWE,13/08/2016,AIK,Helsingborg,2,1,,,H,1.46,4.46,6.48,1.5,4.95,7.4
SWE,13/08/2016,Gefle,Norrkoping,0,0,,,D,4.86,3.97,1.65,5.25,4.5,1.73
SWE,14/08/2016,Kalmar,Malmo FF,1,1,,,D,3.61,3.56,1.97,3.92,3.8,2.08
SWE,14/08/2016,Djurgarden,Elfsborg,2,2,,,D,2.04,3.56,3.41,2.13,3.77,3.98
SWE,14/08/2016,Hacken,Orebro,0,1,,,A,1.62,4.13,4.94,1.7,4.55,5.5
SWE,15/08/2016,Jonkopings,Ostersunds,1,1,,,D,2.66,3.24,2.64,2.84,3.45,2.93
SWE,15/08/2016,Sundsvall,Hammarby,0,0,,,D,2.93,3.45,2.31,3.17,3.67,2.42
SWE,20/08/2016,Helsingborg,Kalmar,0,1,,,A,2.43,3.4,2.79,2.51,3.67,3.02
SWE,20/08/2016,Ostersunds,Djurgarden,1,0,,,H,2.18,3.35,3.26,2.28,3.52,3.52
SWE,21/08/2016,Hammarby,Goteborg,2,0,,,H,2.53,3.35,2.7,2.87,3.56,2.9
SWE,21/08/2016,Falkenbergs,Gefle,1,1,,,D,2.31,3.41,2.96,2.47,3.67,3.12
SWE,21/08/2016,Orebro,AIK,0,2,,,A,2.87,3.4,2.37,3.05,3.65,2.48
