Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,AvgCH,AvgCD,AvgCA,MaxCH,MaxCD,MaxCA
T1,10/08/2018,Ankaragucu,Galatasaray,1,3,1,2,A,4.5,4.0,1.72,4.89,4.09,1.82
T1,11/08/2018,Fenerbahce,Bursaspor,2,1,2,1,H,1.36,5.0,7.5,1.44,5.35,9.5
T1,11/08/2018,Rizespor,Kasimpasa,2,3,1,,A,2.3,3.4,3.0,2.5,3.64,3.05
T1,11/08/2018,Sivasspor,Alanyaspor,1,0,,,H,2.25,3.25,3.2,2.3,3.77,3.3
T1,12/08/2018,Besiktas,Akhisar Belediyespor,2,1,2,,H,1.4,5.0,6.5,1.47,5.25,8.7
T1,12/08/2018,Buyuksehyr,Trabzonspor,2,0,1,,H,1.8,3.6,4.5,1.97,3.74,4.7
T1,12/08/2018,Goztep,Yeni Malatyaspor,1,3,,1,A,1.95,3.3,4.0,2.1,3.63,4.0
T1,12/08/2018,Konyaspor,Erzurum BB,3,2,2,1,H,1.75,3.5,4.75,1.89,3.77,4.75
T1,13/08/2018,Kayserispor,Antalyaspor,2,0,1,,H,1.95,3.4,3.9,2.03,3.63,4.13
T1,17/08/2018,Trabzonspor,Sivasspor,3,1,3,1,H,1.75,3.75,4.5,1.89,3.83,4.84
T1,18/08/2018,Antalyaspor,Konyaspor,3,3,1,2,D,2.87,3.1,2.54,2.87,3.49,2.67
T1,18/08/2018,Bursaspor,Kayserispor,0,0,,,D,2.5,3.2,2.87,2.61,3.38,3.1
T1,18/08/2018,Yeni Malatyaspor,Fenerbahce,1,0,,,H,5.0,3.5,1.72,5.0,3.7,1.92
T1,19/08/2018,Akhisar Belediyespor,Rizespor,1,1,,1,D,2.1,3.1,3.75,2.29,3.49,3.75
T1,19/08/2018,Alanyaspor,Ankaragucu,0,2,,,A,2.0,3.3,3.8,2.18,3.78,3.8
T1,19/08/2018,Erzurum BB,Besiktas,1,3,1,,A,6.0,3.8,1.57,6.0,4.3,1.65
T1,19/08/2018,Galatasaray,Goztep,1,0,1,,H,1.25,5.5,12.0,1.26,7.21,13.95
T1,20/08/2018,Kasimpasa,Buyuksehyr,2,1,,,H,4.2,3.75,1.8,4.46,3.9,1.89
T1,24/08/2018,Rizespor,Erzurum BB,0,0,,,D,1.64,3.6,5.75,1.76,4.29,5.75
T1,25/08/2018,Ankaragucu,Trabzonspor,2,2,1,1,D,3.4,3.25,2.14,3.4,3.64,2.34
T1,25/08/2018,Goztep,Fenerbahce,1,0,,,H,4.75,3.5,1.75,5.14,3.67,1.92
T1,25/08/2018,Kayserispor,Yeni Malatyaspor,0,0,,,D,2.04,3.1,4.0,2.2,3.4,4.0
T1,26/08/2018,Besiktas,Antalyaspor,2,3,1,3,A,1.2,6.5,13.0,1.27,7.03,15.55
T1,26/08/2018,Konyaspor,Bursaspor,1,1,1,1,D,1.8,3.4,4.75,1.95,3.83,4.75
T1,26/08/2018,Sivasspor,Kasimpasa,0,3,,1,A,1.95,3.3,4.0,2.11,3.79,4.0
T1,27/08/2018,Buyuksehyr,Akhisar Belediyespor,3,1,1,1,H,1.44,4.5,6.5,1.47,4.79,9.17
T1,27/08/2018,Galatasaray,Alanyaspor,6,0,1,,H,1.25,5.75,11.0,1.3,6.57,14.0
T1,31/08/2018,Yeni Malatyaspor,Konyaspor,0,1,,1,A,2.2,3.2,3.5,2.39,3.33,3.5
T1,01/09/2018,Akhisar Belediyespor,Sivasspor,1,1,,,D,2.0,3.5,3.6,2.2,3.74,3.65
T1,01/09/2018,Alanyaspor,Goztep,1,0,,,H,2.45,3.3,2.8,2.65,3.62,2.82
T1,01/09/2018,Fenerbahce,Kayserispor,2,3,1,,A,1.44,4.33,7.0,1.49,4.82,8.83
T1,01/09/2018,Trabzonspor,Galatasaray,4,0,3,,H,3.5,3.6,2.0,3.5,3.84,2.22
T1,02/09/2018,Antalyaspor,Rizespor,2,1,,1,H,2.4,3.3,2.87,2.48,3.7,2.97
T1,02/09/2018,Bursaspor,Besiktas,1,1,,,D,5.25,4.0,1.6,5.45,4.2,1.72
T1,02/09/2018,Erzurum BB,Buyuksehyr,0,1,,1,A,5.5,4.0,1.57,5.6,4.51,1.64
T1,02/09/2018,Kasimpasa,Ankaragucu,2,1,1,,H,1.9,3.6,3.8,2.03,4.0,3.95
T1,14/09/2018,Galatasaray,Kasimpasa,4,1,,,H,1.55,4.33,5.25,1.64,4.71,6.5
T1,15/09/2018,Ankaragucu,Akhisar Belediyespor,1,0,1,,H,2.3,3.3,3.0,2.47,3.6,3.15
T1,15/09/2018,Besiktas,Yeni Malatyaspor,2,1,,,H,1.33,5.25,8.0,1.39,5.5,9.47
T1,15/09/2018,Goztep,Kayserispor,2,0,2,,H,2.2,3.25,3.3,2.4,3.46,3.3
T1,16/09/2018,Buyuksehyr,Antalyaspor,4,0,1,,H,1.4,4.5,7.5,1.47,5.15,7.5
T1,16/09/2018,Konyaspor,Fenerbahce,0,1,,,A,3.5,3.5,2.04,3.75,3.72,2.16
T1,16/09/2018,Rizespor,Bursaspor,1,1,,1,D,2.0,3.4,3.75,2.28,3.68,3.75
T1,16/09/2018,Sivasspor,Erzurum BB,2,2,1,1,D,1.72,3.75,4.5,1.84,4.0,4.65
T1,17/09/2018,Alanyaspor,Trabzonspor,1,0,1,,H,3.0,3.5,2.25,3.19,3.75,2.33
T1,21/09/2018,Bursaspor,Buyuksehyr,0,0,,,D,3.4,3.3,2.14,3.75,3.3,2.23
T1,21/09/2018,Erzurum BB,Ankaragucu,0,1,,,A,2.0,3.6,3.5,2.18,3.7,3.6
T1,22/09/2018,Kayserispor,Konyaspor,0,2,,2,A,2.3,3.2,3.2,2.46,3.2,3.48
T1,22/09/2018,Trabzonspor,Goztep,1,2,,2,A,1.6,4.0,5.25,1.71,4.05,5.41
T1,22/09/2018,Yeni Malatyaspor,Rizespor,1,0,1,,H,1.83,3.6,4.2,1.95,3.6,4.27
T1,23/09/2018,Akhisar Belediyespor,Galatasaray,3,0,,,H,5.0,3.6,1.7,5.0,4.11,1.8
T1,23/09/2018,Antalyaspor,Sivasspor,2,1,2,1,H,2.4,3.4,2.8,2.4,3.66,2.92
T1,23/09/2018,Kasimpasa,Alanyaspor,1,2,,1,A,1.7,3.75,4.75,1.78,4.2,4.75
T1,24/09/2018,Fenerbahce,Besiktas,1,1,,1,D,2.4,3.4,2.87,2.5,3.47,2.95
T1,28/09/2018,Galatasaray,Erzurum BB,1,0,,,H,1.28,5.5,10.0,1.35,5.9,11.7
T1,29/09/2018,Alanyaspor,Akhisar Belediyespor,2,1,1,,H,1.95,3.5,3.8,2.02,3.8,3.9
T1,29/09/2018,Besiktas,Kayserispor,2,0,1,,H,1.3,5.25,10.0,1.36,5.5,12.41
T1,29/09/2018,Trabzonspor,Kasimpasa,4,2,1,2,H,1.83,4.0,3.75,1.95,4.25,3.84
T1,30/09/2018,Goztep,Konyaspor,3,2,2,,H,2.37,3.25,3.0,2.5,3.3,3.3
T1,30/09/2018,Rizespor,Fenerbahce,3,0,3,,H,3.8,3.6,1.9,4.1,3.65,2.0
T1,30/09/2018,Sivasspor,Bursaspor,2,0,1,,H,2.0,3.4,3.7,2.15,3.65,3.75
T1,01/10/2018,Ankaragucu,Antalyaspor,0,1,,1,A,2.1,3.4,3.4,2.28,3.6,3.4
T1,01/10/2018,Buyuksehyr,Yeni Malatyaspor,1,1,,1,D,1.33,5.25,8.0,1.4,5.25,10.56
T1,05/10/2018,Kasimpasa,Goztep,3,1,1,,H,2.25,3.6,2.9,2.37,3.72,3.21
T1,06/10/2018,Antalyaspor,Galatasaray,0,1,,,A,5.0,3.8,1.66,5.0,4.1,1.8
T1,06/10/2018,Bursaspor,Ankaragucu,1,0,1,,H,2.04,3.4,3.6,2.1,3.55,4.15
T1,06/10/2018,Erzurum BB,Alanyaspor,1,0,,,H,2.3,3.25,3.1,2.4,3.55,3.15
T1,06/10/2018,Kayserispor,Rizespor,2,2,,1,D,2.14,3.3,3.4,2.3,3.56,3.51
T1,07/10/2018,Akhisar Belediyespor,Trabzonspor,1,3,,2,A,3.4,3.2,2.2,3.4,3.8,2.3
T1,07/10/2018,Fenerbahce,Buyuksehyr,0,0,,,D,2.37,3.2,3.0,2.5,3.4,3.12
T1,07/10/2018,Konyaspor,Besiktas,2,2,1,,D,5.0,3.8,1.64,5.0,4.0,1.8
T1,07/10/2018,Yeni Malatyaspor,Sivasspor,4,4,1,3,D,2.3,3.3,3.1,2.4,3.4,3.25
T1,19/10/2018,Galatasaray,Bursaspor,1,1,,,D,1.53,4.0,6.0,1.61,4.45,7.25
T1,20/10/2018,Buyuksehyr,Kayserispor,1,0,1,,H,1.44,4.2,7.5,1.5,4.61,8.31
T1,20/10/2018,Kasimpasa,Akhisar Belediyespor,5,0,,,H,1.75,3.6,4.5,1.81,4.2,4.5
T1,20/10/2018,Sivasspor,Fenerbahce,0,0,,,D,3.2,3.4,2.2,3.4,3.65,2.26
T1,21/10/2018,Alanyaspor,Antalyaspor,0,1,,1,A,2.0,3.5,3.6,2.07,3.72,3.75
T1,21/10/2018,Ankaragucu,Yeni Malatyaspor,1,0,1,,H,2.54,3.1,2.87,2.71,3.25,3.0
T1,21/10/2018,Goztep,Besiktas,2,0,,,H,3.5,3.4,2.04,3.7,3.6,2.15
T1,21/10/2018,Rizespor,Konyaspor,1,1,1,,D,3.2,3.2,2.25,3.2,3.5,2.4
T1,22/10/2018,Trabzonspor,Erzurum BB,0,0,,,D,1.44,4.33,7.0,1.49,4.9,7.0
T1,26/10/2018,Bursaspor,Alanyaspor,2,0,2,,H,1.8,3.5,4.5,1.86,3.6,5.02
T1,27/10/2018,Antalyaspor,Trabzonspor,1,1,1,1,D,3.2,3.4,2.2,3.3,3.82,2.22
T1,27/10/2018,Erzurum BB,Kasimpasa,1,1,1,,D,2.7,3.4,2.5,2.85,3.6,2.65
T1,27/10/2018,Konyaspor,Buyuksehyr,0,1,,,A,2.9,3.1,2.5,3.05,3.2,2.62
T1,28/10/2018,Fenerbahce,Ankaragucu,1,3,,1,A,1.44,4.5,6.5,1.5,4.8,9.02
T1,28/10/2018,Kayserispor,Sivasspor,2,0,,,H,2.37,3.3,2.9,2.5,3.4,3.1
T1,28/10/2018,Yeni Malatyaspor,Galatasaray,2,0,1,,H,3.6,3.3,2.04,3.79,3.35,2.23
T1,29/10/2018,Akhisar Belediyespor,Goztep,1,0,1,,H,2.9,3.25,2.4,2.9,3.5,2.65
T1,29/10/2018,Besiktas,Rizespor,4,1,2,,H,1.2,6.0,15.0,1.22,8.25,25.0
T1,02/11/2018,Galatasaray,Fenerbahce,2,2,1,,D,2.0,3.4,3.75,2.15,3.4,4.1
