Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,AvgCH,AvgCD,AvgCA,MaxCH,MaxCD,MaxCA
USA,05/07/2023,CF Montreal,Orlando City,2,0,,,H,2.31,3.3,3.12,2.4,3.47,3.47
USA,05/07/2023,Charlotte,New York City,3,2,,,H,2.37,3.27,3.04,2.53,3.42,3.26
USA,05/07/2023,FC Cincinnati,DC United,2,1,,,H,1.9,3.55,4.01,1.95,3.71,4.33
USA,05/07/2023,Inter Miami,Atlanta Utd,2,1,,,H,2.6,3.31,2.69,2.74,3.47,2.88
USA,05/07/2023,New York Red Bulls,Philadelphia Union,0,1,,,A,2.16,3.15,3.62,2.27,3.4,3.81
USA,05/07/2023,San Jose Earthquakes,Los Angeles FC,2,1,,,H,3.22,3.59,2.14,3.54,3.79,2.22
USA,05/07/2023,Toronto FC,New England Revolution,0,2,,,A,2.08,3.6,3.34,2.18,3.81,3.51
USA,05/07/2023,Houston Dynamo,Real Salt Lake,0,0,,,D,1.87,3.62,4.03,1.94,3.8,4.3
USA,05/07/2023,Nashville SC,Chicago Fire,3,0,,,H,1.9,3.55,3.98,1.96,3.73,4.35
USA,05/07/2023,Los Angeles Galaxy,Colorado Rapids,1,3,,,A,1.75,4.01,4.19,1.8,4.33,4.4
USA,05/07/2023,Portland Timbers,Austin FC,2,2,,,D,1.83,3.73,4.1,1.88,3.95,4.4
USA,05/07/2023,Vancouver Whitecaps,Minnesota United,3,2,,,H,1.68,3.85,4.95,1.74,4.05,5.46
USA,05/07/2023,Seattle Sounders,Sporting Kansas City,1,2,,,A,1.68,3.77,5.03,1.74,3.97,5.68
USA,11/07/2023,Real Salt Lake,Houston Dynamo,1,1,,,D,2.39,3.45,2.84,2.61,3.55,3.01
USA,13/07/2023,New England Revolution,Atlanta Utd,2,1,,,H,2.12,3.65,3.17,2.21,3.86,3.43
USA,13/07/2023,New York Red Bulls,FC Cincinnati,1,2,,,A,1.73,3.72,4.7,2.0,3.92,5.1
USA,13/07/2023,Chicago Fire,CF Montreal,3,0,,,H,1.89,3.68,3.89,1.94,3.81,4.2
USA,13/07/2023,Houston Dynamo,Minnesota United,0,3,,,A,1.82,3.87,3.97,1.88,4.1,4.24
USA,13/07/2023,Nashville SC,Philadelphia Union,0,2,,,A,1.91,3.51,3.97,1.99,3.65,4.52
USA,13/07/2023,Sporting Kansas City,Real Salt Lake,2,2,,,D,1.74,4.01,4.27,1.81,4.2,4.56
USA,13/07/2023,Colorado Rapids,Portland Timbers,0,0,,,D,1.96,3.44,3.84,2.2,3.72,5.0
USA,13/07/2023,Los Angeles FC,St. Louis City,3,0,,,H,1.42,4.8,7.03,1.49,5.1,7.8
USA,13/07/2023,San Jose Earthquakes,Seattle Sounders,2,0,,,H,2.52,3.29,2.79,2.62,3.45,2.92
USA,13/07/2023,Vancouver Whitecaps,Austin FC,2,1,,,H,1.75,4.11,4.08,1.82,4.3,4.34
USA,16/07/2023,Atlanta Utd,Orlando City,1,2,,,A,2.17,3.59,3.13,2.36,3.82,3.55
USA,16/07/2023,CF Montreal,Charlotte,2,0,,,H,2.16,3.4,3.29,2.25,3.56,3.48
USA,16/07/2023,FC Cincinnati,Nashville SC,3,1,,,H,1.73,3.76,4.66,1.82,4.06,5.01
USA,16/07/2023,New England Revolution,DC United,4,0,,,H,2.2,3.55,3.09,2.3,3.74,3.35
USA,16/07/2023,Philadelphia Union,New York City,2,1,,,H,1.86,3.57,4.12,1.96,3.75,4.69
USA,16/07/2023,Chicago Fire,Toronto FC,1,0,,,H,1.67,3.91,4.93,1.75,4.13,5.29
USA,16/07/2023,Minnesota United,Los Angeles FC,1,1,,,D,2.7,3.65,2.4,2.82,3.88,2.5
USA,16/07/2023,St. Louis City,Inter Miami,3,0,,,H,1.65,4.02,4.87,1.73,4.3,5.3
USA,16/07/2023,Austin FC,Sporting Kansas City,2,1,,,H,2.07,3.7,3.27,2.25,3.86,3.57
USA,16/07/2023,Colorado Rapids,Houston Dynamo,0,0,,,D,2.27,3.3,3.18,2.49,3.45,3.54
USA,16/07/2023,Real Salt Lake,New York Red Bulls,3,1,,,H,1.89,3.64,3.94,2.07,3.84,4.3
USA,16/07/2023,Portland Timbers,Columbus Crew,3,2,,,H,2.06,3.7,3.3,2.2,3.91,3.45
USA,16/07/2023,Seattle Sounders,FC Dallas,1,1,,,D,1.6,3.86,5.75,1.65,4.0,6.5
USA,16/07/2023,Vancouver Whitecaps,Los Angeles Galaxy,4,2,,,H,1.89,4.13,3.48,1.95,4.4,3.79
USA,06/08/2023,FC Dallas,St. Louis City,2,0,,,H,2.35,2.31,3.85,2.35,2.31,3.85
USA,06/08/2023,Los Angeles FC,Atlanta Utd,0,0,,,D,1.63,4.3,4.68,1.69,4.56,5.0
USA,10/08/2023,Atlanta Utd,Columbus Crew,1,1,,,D,2.11,4.04,2.96,2.22,4.2,3.36
USA,10/08/2023,CF Montreal,Portland Timbers,4,1,,,H,2.19,3.61,3.08,2.27,3.75,3.51
USA,10/08/2023,DC United,New York City,2,0,,,H,2.7,3.48,2.5,2.94,3.69,3.0
USA,10/08/2023,Inter Miami,FC Cincinnati,0,1,,,A,2.2,3.79,2.95,2.31,3.99,3.33
USA,10/08/2023,New York Red Bulls,Toronto FC,3,0,,,H,1.25,5.98,10.76,1.29,6.6,14.0
USA,10/08/2023,Orlando City,New England Revolution,3,2,,,H,1.7,4.07,4.46,1.75,4.33,4.83
USA,10/08/2023,Philadelphia Union,Nashville SC,0,0,,,D,1.91,3.57,3.94,1.98,3.78,4.33
USA,10/08/2023,Austin FC,Los Angeles FC,2,4,,,A,3.24,3.64,2.11,3.56,3.81,2.24
USA,10/08/2023,Chicago Fire,Charlotte,0,2,,,A,2.27,3.6,2.94,2.36,3.81,3.07
USA,10/08/2023,FC Dallas,San Jose Earthquakes,1,1,,,D,1.92,3.57,3.88,1.98,3.69,4.37
